State Code,County Code,Site Number,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Duration Description,Pollutant Standard,Year,Units of Measure,Exceptional Data Type,Observation Count,Observation Percent,Primary Exceedance Count,Secdary Exceedance Count,Valid Day Count,Required Day Count,Exceptional Data Count,Certification Indicator,Null Data Count,Half MDL Sub Count,Nonregulatory Arithmetic Mean,Arithmetic Mean,Arithmetic Standard Dev,Weighted Arithmetic Mean,Minimum Value,Nonreg First Maximum Value,Nonreg First Maximum DateTime,First Maximum Value,First Maximum DateTime,Second Maximum Value,Second Maximum DateTime,Third Maximum Value,Third Maximum DateTime,Fourth Maximum Value,Fourth Maximum DateTime,50th Perecentile,75th Perecentile,90th Perecentile,95th Perecentile,98th Perecentile,99th Perecentile,Method Count,Tribe Name,State Name,County Name,City Name,Local Site Name,Address,MSA or CBSA Name,Data Source
6,67,6,68116,5,38.6137790009202,-121.368014,WGS84,Sample Volume - Quartz Filter,24 HOUR,,2019,Cubic meter,No Events,119,98,.,.,119,121,0,Certification not required,2,0,,31.696639,0.066298,.,31,,,31.8,2019-02-14 00:00,31.8,2019-03-07 00:00,31.8,2019-11-02 00:00,31.7,2019-01-03 00:00,31.7,31.7,31.7,31.7,31.8,31.8,1,,California,Sacramento,Arden-Arcade,Sacramento-Del Paso Manor,"DEL PASO-2701 AVALON DR, SACRAMENTO","Sacramento--Roseville--Arden-Arcade, CA",AQS Data Mart
6,67,6,68115,5,38.6137790009202,-121.368014,WGS84,Sample Volume - Nylon Filter,24 HOUR,,2019,Cubic meter,No Events,121,100,.,.,121,121,0,Certification not required,0,0,,9.698347,0.018182,.,9.5,,,9.7,2019-01-03 00:00,9.7,2019-01-06 00:00,9.7,2019-01-09 00:00,9.7,2019-01-12 00:00,9.7,9.7,9.7,9.7,9.7,9.7,1,,California,Sacramento,Arden-Arcade,Sacramento-Del Paso Manor,"DEL PASO-2701 AVALON DR, SACRAMENTO","Sacramento--Roseville--Arden-Arcade, CA",AQS Data Mart
6,67,6,68114,5,38.6137790009202,-121.368014,WGS84,Sample Volume - Teflon Filter,24 HOUR,,2019,Cubic meter,No Events,121,100,.,.,121,121,0,Certification not required,0,0,,9.698347,0.018182,.,9.5,,,9.7,2019-01-03 00:00,9.7,2019-01-06 00:00,9.7,2019-01-09 00:00,9.7,2019-01-12 00:00,9.7,9.7,9.7,9.7,9.7,9.7,1,,California,Sacramento,Arden-Arcade,Sacramento-Del Paso Manor,"DEL PASO-2701 AVALON DR, SACRAMENTO","Sacramento--Roseville--Arden-Arcade, CA",AQS Data Mart
6,67,6,68102,1,38.6137790009202,-121.368014,WGS84,Sample Volume,24 HOUR,,2019,Cubic meter,No Events,340,100,.,.,59,61,0,Certification not required,25,0,,24.031765,0.082672,.,23.2,,,24.1,2019-01-09 00:00,24.1,2019-01-12 00:00,24.1,2019-01-13 00:00,24.1,2019-01-15 00:00,24,24.1,24.1,24.1,24.1,24.1,1,,California,Sacramento,Arden-Arcade,Sacramento-Del Paso Manor,"DEL PASO-2701 AVALON DR, SACRAMENTO","Sacramento--Roseville--Arden-Arcade, CA",AQS Data Mart
6,67,6,68102,2,38.6137790009202,-121.368014,WGS84,Sample Volume,24 HOUR,,2019,Cubic meter,No Events,28,46,.,.,28,61,0,Certification not required,2,0,,23.996429,0.018898,.,23.9,,,24,2019-01-09 00:00,24,2019-01-21 00:00,24,2019-02-02 00:00,24,2019-02-14 00:00,24,24,24,24,24,24,1,,California,Sacramento,Arden-Arcade,Sacramento-Del Paso Manor,"DEL PASO-2701 AVALON DR, SACRAMENTO","Sacramento--Roseville--Arden-Arcade, CA",AQS Data Mart
6,67,6,68102,7,38.6137790009202,-121.368014,WGS84,Sample Volume,24 HOUR,,2019,Cubic meter,No Events,114,94,.,.,114,121,0,Certification not required,8,0,,24.003509,0.056333,.,23.5,,,24.1,2019-02-08 00:00,24.1,2019-02-14 00:00,24.1,2019-04-15 00:00,24.1,2019-06-14 00:00,24,24,24,24.1,24.1,24.1,1,,California,Sacramento,Arden-Arcade,Sacramento-Del Paso Manor,"DEL PASO-2701 AVALON DR, SACRAMENTO","Sacramento--Roseville--Arden-Arcade, CA",AQS Data Mart
6,67,6,68117,5,38.6137790009202,-121.368014,WGS84,Average Ambient Temperature for URG3000N,24 HOUR,,2019,Degrees Centigrade,No Events,121,100,.,.,121,121,0,Certification not required,0,0,,17.271901,6.093196,.,6.4,,,30.4,2019-06-11 00:00,30,2019-08-16 00:00,28.8,2019-08-25 00:00,28.7,2019-06-05 00:00,16.3,21.8,25.7,27.6,28.8,30,1,,California,Sacramento,Arden-Arcade,Sacramento-Del Paso Manor,"DEL PASO-2701 AVALON DR, SACRAMENTO","Sacramento--Roseville--Arden-Arcade, CA",AQS Data Mart
6,67,6,68103,1,38.6137790009202,-121.368014,WGS84,Ambient Min Temperature,24 HOUR,,2019,Degrees Centigrade,No Events,340,100,.,.,59,61,0,Certification not required,25,0,,10.257059,5.381009,.,-1.3,,,21.6,2019-07-28 00:00,21.4,2019-06-12 00:00,20.9,2019-07-25 00:00,20.9,2019-08-16 00:00,9.7,14.9,17.5,18.7,20.2,20.9,1,,California,Sacramento,Arden-Arcade,Sacramento-Del Paso Manor,"DEL PASO-2701 AVALON DR, SACRAMENTO","Sacramento--Roseville--Arden-Arcade, CA",AQS Data Mart
6,67,6,68103,2,38.6137790009202,-121.368014,WGS84,Ambient Min Temperature,24 HOUR,,2019,Degrees Centigrade,No Events,28,46,.,.,28,61,0,Certification not required,2,0,,11.867857,4.58783,.,2.7,,,21.3,2019-08-25 00:00,17.9,2019-08-01 00:00,17.7,2019-08-13 00:00,17.2,2019-09-06 00:00,11.6,15.7,17.7,17.9,21.3,21.3,1,,California,Sacramento,Arden-Arcade,Sacramento-Del Paso Manor,"DEL PASO-2701 AVALON DR, SACRAMENTO","Sacramento--Roseville--Arden-Arcade, CA",AQS Data Mart
6,67,6,68103,7,38.6137790009202,-121.368014,WGS84,Ambient Min Temperature,24 HOUR,,2019,Degrees Centigrade,No Events,114,94,.,.,114,121,0,Certification not required,8,0,,10.657895,5.28946,.,-0.3,,,21.3,2019-08-16 00:00,20.8,2019-06-05 00:00,20.8,2019-07-23 00:00,20,2019-06-11 00:00,9.8,15.1,17.6,19.2,20.8,20.8,1,,California,Sacramento,Arden-Arcade,Sacramento-Del Paso Manor,"DEL PASO-2701 AVALON DR, SACRAMENTO","Sacramento--Roseville--Arden-Arcade, CA",AQS Data Mart
