State Code,County Code,Site Number,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Duration Description,Pollutant Standard,Year,Units of Measure,Exceptional Data Type,Observation Count,Observation Percent,Primary Exceedance Count,Secdary Exceedance Count,Valid Day Count,Required Day Count,Exceptional Data Count,Certification Indicator,Null Data Count,Half MDL Sub Count,Nonregulatory Arithmetic Mean,Arithmetic Mean,Arithmetic Standard Dev,Weighted Arithmetic Mean,Minimum Value,Nonreg First Maximum Value,Nonreg First Maximum DateTime,First Maximum Value,First Maximum DateTime,Second Maximum Value,Second Maximum DateTime,Third Maximum Value,Third Maximum DateTime,Fourth Maximum Value,Fourth Maximum DateTime,50th Perecentile,75th Perecentile,90th Perecentile,95th Perecentile,98th Perecentile,99th Perecentile,Method Count,Tribe Name,State Name,County Name,City Name,Local Site Name,Address,MSA or CBSA Name,Data Source
6,7,8,68102,1,39.76168,-121.84047,NAD83,Sample Volume,24 HOUR,,2019,Cubic meter,No Events,161,88,.,.,161,182,0,Certification not required,16,0,,23.986957,0.063374,.,23.5,,,24,2019-01-01 00:00,24,2019-01-02 00:00,24,2019-01-03 00:00,24,2019-01-04 00:00,24,24,24,24,24,24,1,,California,Butte,Chico,Chico-East Avenue,"984 East Avenue, Chico","Chico, CA",AQS Data Mart
6,7,8,68103,1,39.76168,-121.84047,NAD83,Ambient Min Temperature,24 HOUR,,2019,Degrees Centigrade,No Events,161,88,.,.,161,182,0,Certification not required,16,0,,10.444099,5.283723,.,-1.2,,,22.3,2019-06-13 00:00,21.8,2019-06-19 00:00,21.7,2019-06-18 00:00,21.5,2019-06-12 00:00,10.5,13.9,17.4,20.1,21.5,21.8,1,,California,Butte,Chico,Chico-East Avenue,"984 East Avenue, Chico","Chico, CA",AQS Data Mart
6,7,8,68103,5,39.76168,-121.84047,NAD83,Ambient Min Temperature,24 HOUR,,2019,Degrees Centigrade,No Events,61,100,.,.,60,61,0,Certification not required,3,0,,10.92623,6.168168,.,-1.2,,,26.7,2019-07-14 00:00,21.7,2019-07-28 00:00,21,2019-08-25 00:00,19.6,2019-06-20 00:00,10.3,16.4,18.5,19.6,21.7,26.7,1,,California,Butte,Chico,Chico-East Avenue,"984 East Avenue, Chico","Chico, CA",AQS Data Mart
6,7,8,68104,1,39.76168,-121.84047,NAD83,Ambient Max Temperature,24 HOUR,,2019,Degrees Centigrade,No Events,161,88,.,.,161,182,0,Certification not required,16,0,,23.185714,8.23975,.,11.1,,,41.5,2019-06-18 00:00,41.1,2019-06-10 00:00,40.6,2019-06-11 00:00,40.5,2019-06-12 00:00,21.2,30.5,34.9,38,40.5,41.1,1,,California,Butte,Chico,Chico-East Avenue,"984 East Avenue, Chico","Chico, CA",AQS Data Mart
6,7,8,68104,5,39.76168,-121.84047,NAD83,Ambient Max Temperature,24 HOUR,,2019,Degrees Centigrade,No Events,61,100,.,.,60,61,0,Certification not required,3,0,,25.057377,9.63029,.,10.2,,,42.7,2019-07-28 00:00,40.4,2019-08-25 00:00,39.1,2019-08-13 00:00,38.9,2019-09-24 00:00,26.2,34,37,38.9,40.4,42.7,1,,California,Butte,Chico,Chico-East Avenue,"984 East Avenue, Chico","Chico, CA",AQS Data Mart
6,7,8,68105,1,39.76168,-121.84047,NAD83,Average Ambient Temperature,24 HOUR,,2019,Degrees Centigrade,No Events,161,88,.,.,161,182,0,Certification not required,16,0,,16.580124,6.521942,.,6.3,,,32.1,2019-06-18 00:00,31.1,2019-06-11 00:00,30.6,2019-06-12 00:00,30.5,2019-06-19 00:00,14.9,21.7,26.4,29.3,30.5,31.1,1,,California,Butte,Chico,Chico-East Avenue,"984 East Avenue, Chico","Chico, CA",AQS Data Mart
6,7,8,68105,5,39.76168,-121.84047,NAD83,Average Ambient Temperature,24 HOUR,,2019,Degrees Centigrade,No Events,61,100,.,.,60,61,0,Certification not required,3,0,,17.642623,7.663147,.,4.2,,,32.5,2019-07-28 00:00,30.9,2019-08-25 00:00,29.5,2019-08-13 00:00,29.2,2019-09-02 00:00,16,25,27.9,29.2,30.9,32.5,1,,California,Butte,Chico,Chico-East Avenue,"984 East Avenue, Chico","Chico, CA",AQS Data Mart
6,7,8,61104,1,39.76168,-121.84047,NAD83,Wind Direction - Resultant,1 HOUR,,2019,Degrees Compass,No Events,8660,99,.,.,359,365,0,Certification not required,92,0,,185.668476,92.534878,.,0,,,360,2019-02-18 05:00,360,2019-03-04 22:00,360,2019-06-06 21:00,360,2019-09-20 19:00,167,270,328,339,349,353,1,,California,Butte,Chico,Chico-East Avenue,"984 East Avenue, Chico","Chico, CA",AQS Data Mart
6,7,8,62102,1,39.76168,-121.84047,NAD83,Virtual Temperature,1 HOUR,,2019,Degrees Fahrenheit,No Events,8660,99,.,.,359,365,0,Certification not required,96,0,,63.692714,15.261152,.,30.2,,,102.7,2019-08-15 15:00,102.2,2019-08-15 14:00,101.8,2019-08-15 16:00,101.5,2019-07-28 15:00,61.7,75.4,85.6,90.7,94.3,96.1,1,,California,Butte,Chico,Chico-East Avenue,"984 East Avenue, Chico","Chico, CA",AQS Data Mart
6,7,8,62101,2,39.76168,-121.84047,NAD83,Outdoor Temperature,1 HOUR,,2019,Degrees Fahrenheit,No Events,8683,99,.,.,361,365,0,Certification not required,77,0,,62.975308,16.14993,.,28,,,105.3,2019-08-15 14:00,105.1,2019-08-15 15:00,104,2019-08-15 13:00,104,2019-08-26 15:00,61,75.2,86.2,91.8,95.9,98.1,1,,California,Butte,Chico,Chico-East Avenue,"984 East Avenue, Chico","Chico, CA",AQS Data Mart
