State Code,County Code,Site Number,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Duration Description,Pollutant Standard,Year,Units of Measure,Exceptional Data Type,Observation Count,Observation Percent,Primary Exceedance Count,Secdary Exceedance Count,Valid Day Count,Required Day Count,Exceptional Data Count,Certification Indicator,Null Data Count,Half MDL Sub Count,Nonregulatory Arithmetic Mean,Arithmetic Mean,Arithmetic Standard Dev,Weighted Arithmetic Mean,Minimum Value,Nonreg First Maximum Value,Nonreg First Maximum DateTime,First Maximum Value,First Maximum DateTime,Second Maximum Value,Second Maximum DateTime,Third Maximum Value,Third Maximum DateTime,Fourth Maximum Value,Fourth Maximum DateTime,50th Perecentile,75th Perecentile,90th Perecentile,95th Perecentile,98th Perecentile,99th Perecentile,Method Count,Tribe Name,State Name,County Name,City Name,Local Site Name,Address,MSA or CBSA Name,Data Source
6,19,2016,62101,1,36.710833,-119.7775,WGS84,Outdoor Temperature,1 HOUR,,2019,Degrees Fahrenheit,No Events,8740,100,.,.,364,365,0,Certification not required,20,0,,65.86167,15.666458,.,32,,,106,2019-07-28 16:00,106,2019-08-16 14:00,106,2019-08-16 15:00,106,2019-08-16 16:00,64,77,89,94,99,101,1,,California,Fresno,Fresno,Fresno-Foundry,2482 Foundry Park Ave,"Fresno, CA",AQS Data Mart
6,19,2016,64101,1,36.710833,-119.7775,WGS84,Barometric pressure,1 HOUR,,2019,Millibars,No Events,8740,100,.,.,364,365,0,Certification not required,20,0,,1006.393867,4.996421,.,991.1,,,1022.6,2019-01-23 09:00,1022.3,2019-01-23 08:00,1022.3,2019-01-23 10:00,1021.9,2019-01-22 23:00,1005.9,1009.6,1013.5,1015.5,1017,1018,1,,California,Fresno,Fresno,Fresno-Foundry,2482 Foundry Park Ave,"Fresno, CA",AQS Data Mart
6,19,2016,61101,1,36.710833,-119.7775,WGS84,Wind Speed - Scalar,1 HOUR,,2019,Knots,No Events,8740,100,.,.,364,365,0,Certification not required,20,0,,2.846899,1.343739,.,0.6,,,14.2,2019-04-09 16:00,11.5,2019-02-14 12:00,11.4,2019-03-05 15:00,11.4,2019-04-09 15:00,2.6,3.5,4.3,5.3,6.5,7.6,1,,California,Fresno,Fresno,Fresno-Foundry,2482 Foundry Park Ave,"Fresno, CA",AQS Data Mart
6,19,2016,61102,1,36.710833,-119.7775,WGS84,Wind Direction - Scalar,1 HOUR,,2019,Degrees Compass,No Events,8739,100,.,.,364,365,0,Certification not required,21,0,,206.002174,89.430192,.,0,,,360,2019-01-11 22:00,360,2019-04-29 08:00,360,2019-08-04 05:00,359,2019-05-02 07:00,238,285,303,311,318,332,1,,California,Fresno,Fresno,Fresno-Foundry,2482 Foundry Park Ave,"Fresno, CA",AQS Data Mart
6,19,2016,61103,1,36.710833,-119.7775,WGS84,Wind Speed - Resultant,1 HOUR,,2019,Knots,No Events,8739,100,.,.,364,365,0,Certification not required,21,0,,2.235771,1.333276,.,0,,,13.5,2019-04-09 16:00,10.8,2019-03-05 15:00,10.8,2019-04-09 17:00,10.6,2019-02-14 12:00,2,2.8,3.8,4.8,6.1,7.1,1,,California,Fresno,Fresno,Fresno-Foundry,2482 Foundry Park Ave,"Fresno, CA",AQS Data Mart
6,19,2016,61104,1,36.710833,-119.7775,WGS84,Wind Direction - Resultant,1 HOUR,,2019,Degrees Compass,No Events,8739,100,.,.,364,365,0,Certification not required,21,0,,207.256322,89.778721,.,0.4,,,359.3,2019-04-07 20:00,358.9,2019-01-18 19:00,358.7,2019-11-09 13:00,358.6,2019-06-17 06:00,238.1,286.4,307.6,314.6,319.5,333.4,1,,California,Fresno,Fresno,Fresno-Foundry,2482 Foundry Park Ave,"Fresno, CA",AQS Data Mart
6,19,2016,42602,1,36.710833,-119.7775,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,2019,Parts per billion,No Events,8335,95,.,.,359,365,0,Uncertified (past due),425,0,,20.487594,9.980011,.,1.5,,,88.7,2019-11-06 18:00,78.2,2019-11-13 19:00,75.8,2019-11-13 18:00,75.3,2019-11-13 17:00,19.1,25.6,33.1,38.8,46.7,53.2,1,,California,Fresno,Fresno,Fresno-Foundry,2482 Foundry Park Ave,"Fresno, CA",AQS Data Mart
6,19,2016,42602,1,36.710833,-119.7775,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,2019,Parts per billion,No Events,8335,95,0,.,359,365,0,Uncertified (past due),425,0,,33.65376,11.365835,.,12.3,,,88.7,2019-11-06 18:00,78.2,2019-11-13 19:00,69.7,2019-11-07 18:00,67,2019-11-12 17:00,31.6,38.5,48.3,58.8,63.1,67,1,,California,Fresno,Fresno,Fresno-Foundry,2482 Foundry Park Ave,"Fresno, CA",AQS Data Mart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,27.070677,10.672923,,,,,,,,,,,,,,,,,,,,,,,,,,,
