State Code,County Code,Site Number,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Duration Description,Pollutant Standard,Year,Units of Measure,Exceptional Data Type,Observation Count,Observation Percent,Primary Exceedance Count,Secdary Exceedance Count,Valid Day Count,Required Day Count,Exceptional Data Count,Certification Indicator,Null Data Count,Half MDL Sub Count,Nonregulatory Arithmetic Mean,Arithmetic Mean,Arithmetic Standard Dev,Weighted Arithmetic Mean,Minimum Value,Nonreg First Maximum Value,Nonreg First Maximum DateTime,First Maximum Value,First Maximum DateTime,Second Maximum Value,Second Maximum DateTime,Third Maximum Value,Third Maximum DateTime,Fourth Maximum Value,Fourth Maximum DateTime,50th Perecentile,75th Perecentile,90th Perecentile,95th Perecentile,98th Perecentile,99th Perecentile,Method Count,Tribe Name,State Name,County Name,City Name,Local Site Name,Address,MSA or CBSA Name,Data Source
6,1,9,88101,3,37.743065,-122.169935,WGS84,PM2.5 - Local Conditions,1 HOUR,,2019,Micrograms/cubic meter (LC),No Events,8612,98,.,.,363,365,0,Certified,137,0,,6.795286,5.565105,.,-6,,,167,2019-07-04 20:00,103,2019-06-29 11:00,78,2019-07-04 21:00,77,2019-10-27 23:00,6,9,13,16,20,23,1,,California,Alameda,Oakland,Oakland,9925 International Blvd,"San Francisco-Oakland-Hayward, CA",AQS Data Mart
6,1,9,88101,3,37.743065,-122.169935,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,2019,Micrograms/cubic meter (LC),No Events,361,99,0,0,361,365,0,Certified,0,0,,6.758449,3.959642,6.74539345919781,0,,,24.7,2019-01-04 00:00,20.9,2019-11-08 00:00,20.5,2019-11-09 00:00,20.4,2019-11-07 00:00,5.7,8.7,12.2,14.5,17,20.4,1,,California,Alameda,Oakland,Oakland,9925 International Blvd,"San Francisco-Oakland-Hayward, CA",AQS Data Mart
6,1,9,88101,3,37.743065,-122.169935,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2012,2019,Micrograms/cubic meter (LC),No Events,361,99,.,.,361,365,0,Certified,0,0,,6.758449,3.959642,6.74539345919781,0,,,24.7,2019-01-04 00:00,20.9,2019-11-08 00:00,20.5,2019-11-09 00:00,20.4,2019-11-07 00:00,5.7,8.7,12.2,14.5,17,20.4,1,,California,Alameda,Oakland,Oakland,9925 International Blvd,"San Francisco-Oakland-Hayward, CA",AQS Data Mart
6,1,9,42602,1,37.743065,-122.169935,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,2019,Parts per billion,No Events,8327,95,0,.,362,365,0,Certified,433,0,,17.422099,9.723693,.,2.5,,,61.8,2019-11-18 17:00,53.9,2019-11-12 17:00,43.7,2019-10-22 09:00,41.3,2019-11-11 18:00,16.7,24.1,30.4,34,38.8,41.3,1,,California,Alameda,Oakland,Oakland,9925 International Blvd,"San Francisco-Oakland-Hayward, CA",AQS Data Mart
6,1,9,42602,1,37.743065,-122.169935,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,2019,Parts per billion,No Events,8327,95,.,.,362,365,0,Certified,433,0,,8.776402,6.858464,.,0.2,,,61.8,2019-11-18 17:00,53.9,2019-11-12 17:00,47.3,2019-11-12 19:00,47.1,2019-11-12 18:00,6.6,12.3,18.4,22.9,27.2,30.4,1,,California,Alameda,Oakland,Oakland,9925 International Blvd,"San Francisco-Oakland-Hayward, CA",AQS Data Mart
,,,,,,,,,,,,,,,,,,,,,,,,,13.0992505,8.2910785,,1.35,,,,,,,,,,,11.65,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,9,42601,1,37.743065,-122.169935,WGS84,Nitric oxide (NO),1 HOUR,,2019,Parts per billion,No Events,8327,95,.,.,362,365,0,Certification not required,433,0,,2.864729,5.125217,.,-0.4,,,73.2,2019-10-22 09:00,61.8,2019-03-14 07:00,60.5,2019-01-28 09:00,54.2,2019-10-22 07:00,1.2,2.8,7,11.8,20.2,26.5,1,,California,Alameda,Oakland,Oakland,9925 International Blvd,"San Francisco-Oakland-Hayward, CA",AQS Data Mart
6,1,9,42603,1,37.743065,-122.169935,WGS84,Oxides of nitrogen (NOx),1 HOUR,,2019,Parts per billion,No Events,8327,95,.,.,362,365,0,Certification not required,433,0,,11.642668,10.80333,.,0.2,,,116.9,2019-10-22 09:00,92.6,2019-03-14 07:00,91.2,2019-01-28 09:00,86.9,2019-11-12 09:00,8,15.1,25.5,34,43.9,52.2,1,,California,Alameda,Oakland,Oakland,9925 International Blvd,"San Francisco-Oakland-Hayward, CA",AQS Data Mart
6,1,9,45203,3,37.743065,-122.169935,WGS84,Ethylbenzene,24 HOUR,,2019,Parts per billion Carbon,No Events,30,100,.,.,30,30,0,Certification not required,0,0,,1.233333,1.860304,.,0,,,8.352,2019-11-17 00:00,5.392,2019-11-05 00:00,3.84,2019-11-29 00:00,3.736,2019-10-12 00:00,0.568,1.04,3.84,5.392,8.352,8.352,1,,California,Alameda,Oakland,Oakland,9925 International Blvd,"San Francisco-Oakland-Hayward, CA",AQS Data Mart
