State Code,County Code,Site Number,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Duration Description,Pollutant Standard,Year,Units of Measure,Exceptional Data Type,Observation Count,Observation Percent,Primary Exceedance Count,Secdary Exceedance Count,Valid Day Count,Required Day Count,Exceptional Data Count,Certification Indicator,Null Data Count,Half MDL Sub Count,Nonregulatory Arithmetic Mean,Arithmetic Mean,Arithmetic Standard Dev,Weighted Arithmetic Mean,Minimum Value,Nonreg First Maximum Value,Nonreg First Maximum DateTime,First Maximum Value,First Maximum DateTime,Second Maximum Value,Second Maximum DateTime,Third Maximum Value,Third Maximum DateTime,Fourth Maximum Value,Fourth Maximum DateTime,50th Perecentile,75th Perecentile,90th Perecentile,95th Perecentile,98th Perecentile,99th Perecentile,Method Count,Tribe Name,State Name,County Name,City Name,Local Site Name,Address,MSA or CBSA Name,Data Source
6,77,1002,61104,2,37.9507408985318,-121.268522670981,WGS84,Wind Direction - Resultant,1 HOUR,,2019,Degrees Compass,No Events,8741,100,.,.,364,365,0,Certification not required,19,0,,231.231324,92.924017,.,0,,,360,2019-06-20 03:00,360,2019-09-27 04:00,360,2019-10-24 14:00,360,2019-10-30 11:00,260,303,330,341,350,354,1,,California,San Joaquin,Stockton,Stockton-Hazelton,"HAZELTON-HD, STOCKTON","Stockton-Lodi, CA",AQS Data Mart
6,77,1002,62102,1,37.9507408985318,-121.268522670981,WGS84,Virtual Temperature,1 HOUR,,2019,Degrees Fahrenheit,No Events,8741,100,.,.,364,365,0,Certification not required,19,0,,63.713534,13.119109,.,34.3,,,102.6,2019-08-15 16:00,102,2019-08-15 15:00,101.7,2019-08-15 17:00,101.3,2019-06-11 15:00,62.1,72.7,82.8,88,93,95.2,1,,California,San Joaquin,Stockton,Stockton-Hazelton,"HAZELTON-HD, STOCKTON","Stockton-Lodi, CA",AQS Data Mart
6,77,1002,62101,2,37.9507408985318,-121.268522670981,WGS84,Outdoor Temperature,1 HOUR,,2019,Degrees Fahrenheit,No Events,8624,98,.,.,364,365,0,Certification not required,136,0,,63.072205,13.745348,.,32.9,,,103.8,2019-08-15 16:00,103.3,2019-08-15 15:00,103.1,2019-08-15 14:00,102.9,2019-06-11 14:00,61.2,72.3,83.1,88.5,93.9,96.4,1,,California,San Joaquin,Stockton,Stockton-Hazelton,"HAZELTON-HD, STOCKTON","Stockton-Lodi, CA",AQS Data Mart
6,77,1002,61103,2,37.9507408985318,-121.268522670981,WGS84,Wind Speed - Resultant,1 HOUR,,2019,Knots,No Events,8741,100,.,.,364,365,0,Certification not required,19,0,,3.143908,2.113948,.,0,,,14.5,2019-10-27 11:00,13.8,2019-01-06 17:00,13.8,2019-10-27 12:00,13.4,2019-04-20 16:00,2.8,4.2,5.9,7.2,8.9,9.9,1,,California,San Joaquin,Stockton,Stockton-Hazelton,"HAZELTON-HD, STOCKTON","Stockton-Lodi, CA",AQS Data Mart
6,77,1002,61101,1,37.9507408985318,-121.268522670981,WGS84,Wind Speed - Scalar,1 HOUR,,2019,Knots,No Events,8741,100,.,.,364,365,0,Certification not required,19,0,,3.42629,2.072381,.,0.2,,,14.7,2019-10-27 11:00,13.9,2019-01-06 17:00,13.9,2019-10-27 12:00,13.6,2019-04-20 14:00,3.1,4.5,6.1,7.4,9,10.1,1,,California,San Joaquin,Stockton,Stockton-Hazelton,"HAZELTON-HD, STOCKTON","Stockton-Lodi, CA",AQS Data Mart
6,77,1002,12164,7,37.9507408985318,-121.268522670981,WGS84,Vanadium (TSP) STP,24 HOUR,,2019,Micrograms/cubic meter (25 C),No Events,28,46,.,.,28,61,0,Certification not required,0,0,,0.003302,0.002816,.,0.001,,,0.012,2019-11-05 00:00,0.00884,2019-10-12 00:00,0.00862,2019-10-24 00:00,0.006,2019-08-01 00:00,0.003,0.005,0.00862,0.00884,0.012,0.012,1,,California,San Joaquin,Stockton,Stockton-Hazelton,"HAZELTON-HD, STOCKTON","Stockton-Lodi, CA",AQS Data Mart
6,77,1002,12164,8,37.9507408985318,-121.268522670981,WGS84,Vanadium (TSP) STP,24 HOUR,,2019,Micrograms/cubic meter (25 C),No Events,27,44,.,.,27,61,0,Certification not required,1,0,,0.003442,0.002814,.,0.001,,,0.012,2019-11-05 00:00,0.009,2019-10-12 00:00,0.00893,2019-10-24 00:00,0.005,2019-05-09 00:00,0.003,0.005,0.00893,0.009,0.012,0.012,1,,California,San Joaquin,Stockton,Stockton-Hazelton,"HAZELTON-HD, STOCKTON","Stockton-Lodi, CA",AQS Data Mart
6,77,1002,12154,7,37.9507408985318,-121.268522670981,WGS84,Selenium (TSP) STP,24 HOUR,,2019,Micrograms/cubic meter (25 C),No Events,28,46,.,.,28,61,0,Certification not required,0,0,,0.00165,0,.,0.00165,,,0.00165,2019-01-09 00:00,0.00165,2019-01-21 00:00,0.00165,2019-02-02 00:00,0.00165,2019-02-14 00:00,0.00165,0.00165,0.00165,0.00165,0.00165,0.00165,1,,California,San Joaquin,Stockton,Stockton-Hazelton,"HAZELTON-HD, STOCKTON","Stockton-Lodi, CA",AQS Data Mart
6,77,1002,12154,8,37.9507408985318,-121.268522670981,WGS84,Selenium (TSP) STP,24 HOUR,,2019,Micrograms/cubic meter (25 C),No Events,27,44,.,.,27,61,0,Certification not required,1,0,,0.00165,0,.,0.00165,,,0.00165,2019-01-09 00:00,0.00165,2019-01-21 00:00,0.00165,2019-02-02 00:00,0.00165,2019-02-14 00:00,0.00165,0.00165,0.00165,0.00165,0.00165,0.00165,1,,California,San Joaquin,Stockton,Stockton-Hazelton,"HAZELTON-HD, STOCKTON","Stockton-Lodi, CA",AQS Data Mart
6,77,1002,12132,7,37.9507408985318,-121.268522670981,WGS84,Manganese (TSP) STP,24 HOUR,,2019,Micrograms/cubic meter (25 C),No Events,28,46,.,.,28,61,0,Certification not required,0,0,,0.0254,0.027509,.,0.00355,,,0.115,2019-11-05 00:00,0.0894,2019-10-24 00:00,0.0848,2019-10-12 00:00,0.0515,2019-11-17 00:00,0.0195,0.0251,0.0848,0.0894,0.115,0.115,1,,California,San Joaquin,Stockton,Stockton-Hazelton,"HAZELTON-HD, STOCKTON","Stockton-Lodi, CA",AQS Data Mart
6,77,1002,12132,8,37.9507408985318,-121.268522670981,WGS84,Manganese (TSP) STP,24 HOUR,,2019,Micrograms/cubic meter (25 C),No Events,27,44,.,.,27,61,0,Certification not required,1,0,,0.026444,0.027744,.,0.00364,,,0.113,2019-11-05 00:00,0.0893,2019-10-24 00:00,0.0878,2019-10-12 00:00,0.0522,2019-11-17 00:00,0.0199,0.0277,0.0878,0.0893,0.113,0.113,1,,California,San Joaquin,Stockton,Stockton-Hazelton,"HAZELTON-HD, STOCKTON","Stockton-Lodi, CA",AQS Data Mart
6,77,1002,12126,7,37.9507408985318,-121.268522670981,WGS84,Iron (TSP) STP,24 HOUR,,2019,Micrograms/cubic meter (25 C),No Events,28,46,.,.,28,61,0,Certification not required,0,0,,1.171143,1.139782,.,0.141,,,4.63,2019-11-05 00:00,3.9,2019-10-12 00:00,3.52,2019-10-24 00:00,2.26,2019-11-17 00:00,0.974,1.3,3.52,3.9,4.63,4.63,1,,California,San Joaquin,Stockton,Stockton-Hazelton,"HAZELTON-HD, STOCKTON","Stockton-Lodi, CA",AQS Data Mart
6,77,1002,12126,8,37.9507408985318,-121.268522670981,WGS84,Iron (TSP) STP,24 HOUR,,2019,Micrograms/cubic meter (25 C),No Events,27,44,.,.,27,61,0,Certification not required,1,0,,1.236074,1.171451,.,0.161,,,4.65,2019-11-05 00:00,4.05,2019-10-12 00:00,3.63,2019-10-24 00:00,2.3,2019-11-17 00:00,0.961,1.45,3.63,4.05,4.65,4.65,1,,California,San Joaquin,Stockton,Stockton-Hazelton,"HAZELTON-HD, STOCKTON","Stockton-Lodi, CA",AQS Data Mart
6,77,1002,12114,7,37.9507408985318,-121.268522670981,WGS84,Copper (TSP) STP,24 HOUR,,2019,Micrograms/cubic meter (25 C),No Events,28,46,.,.,28,61,0,Certification not required,0,0,,0.020357,0.011402,.,0.007,,,0.054,2019-11-05 00:00,0.043,2019-09-19 00:00,0.039,2019-10-12 00:00,0.033,2019-10-24 00:00,0.018,0.027,0.039,0.043,0.054,0.054,1,,California,San Joaquin,Stockton,Stockton-Hazelton,"HAZELTON-HD, STOCKTON","Stockton-Lodi, CA",AQS Data Mart
6,77,1002,12114,8,37.9507408985318,-121.268522670981,WGS84,Copper (TSP) STP,24 HOUR,,2019,Micrograms/cubic meter (25 C),No Events,27,44,.,.,27,61,0,Certification not required,1,0,,0.021296,0.014079,.,0.005,,,0.061,2019-02-14 00:00,0.055,2019-11-05 00:00,0.041,2019-10-12 00:00,0.036,2019-09-19 00:00,0.016,0.028,0.041,0.055,0.061,0.061,1,,California,San Joaquin,Stockton,Stockton-Hazelton,"HAZELTON-HD, STOCKTON","Stockton-Lodi, CA",AQS Data Mart
6,77,1002,12110,7,37.9507408985318,-121.268522670981,WGS84,Cadmium (TSP) STP,24 HOUR,,2019,Micrograms/cubic meter (25 C),No Events,28,46,.,.,28,61,0,Certification not required,0,0,,0.00065,0,.,0.00065,,,0.00065,2019-01-09 00:00,0.00065,2019-01-21 00:00,0.00065,2019-02-02 00:00,0.00065,2019-02-14 00:00,0.00065,0.00065,0.00065,0.00065,0.00065,0.00065,1,,California,San Joaquin,Stockton,Stockton-Hazelton,"HAZELTON-HD, STOCKTON","Stockton-Lodi, CA",AQS Data Mart
6,77,1002,12110,8,37.9507408985318,-121.268522670981,WGS84,Cadmium (TSP) STP,24 HOUR,,2019,Micrograms/cubic meter (25 C),No Events,27,44,.,.,27,61,0,Certification not required,1,0,,0.00065,0,.,0.00065,,,0.00065,2019-01-09 00:00,0.00065,2019-01-21 00:00,0.00065,2019-02-02 00:00,0.00065,2019-02-14 00:00,0.00065,0.00065,0.00065,0.00065,0.00065,0.00065,1,,California,San Joaquin,Stockton,Stockton-Hazelton,"HAZELTON-HD, STOCKTON","Stockton-Lodi, CA",AQS Data Mart
6,77,1002,12161,8,37.9507408985318,-121.268522670981,WGS84,Titanium (TSP) STP,24 HOUR,,2019,Micrograms/cubic meter (25 C),No Events,27,44,.,.,27,61,0,Certification not required,1,0,,0.047259,0.046178,.,0.005,,,0.171,2019-11-05 00:00,0.165,2019-10-12 00:00,0.142,2019-10-24 00:00,0.096,2019-11-17 00:00,0.035,0.056,0.142,0.165,0.171,0.171,1,,California,San Joaquin,Stockton,Stockton-Hazelton,"HAZELTON-HD, STOCKTON","Stockton-Lodi, CA",AQS Data Mart
6,77,1002,12161,7,37.9507408985318,-121.268522670981,WGS84,Titanium (TSP) STP,24 HOUR,,2019,Micrograms/cubic meter (25 C),No Events,28,46,.,.,28,61,0,Certification not required,0,0,,0.044857,0.046268,.,0.005,,,0.183,2019-11-05 00:00,0.159,2019-10-12 00:00,0.141,2019-10-24 00:00,0.09,2019-11-17 00:00,0.032,0.052,0.141,0.159,0.183,0.183,1,,California,San Joaquin,Stockton,Stockton-Hazelton,"HAZELTON-HD, STOCKTON","Stockton-Lodi, CA",AQS Data Mart
