State Code,County Code,Site Number,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Duration Description,Pollutant Standard,Year,Units of Measure,Exceptional Data Type,Observation Count,Observation Percent,Primary Exceedance Count,Secdary Exceedance Count,Valid Day Count,Required Day Count,Exceptional Data Count,Certification Indicator,Null Data Count,Half MDL Sub Count,Nonregulatory Arithmetic Mean,Arithmetic Mean,Arithmetic Standard Dev,Weighted Arithmetic Mean,Minimum Value,Nonreg First Maximum Value,Nonreg First Maximum DateTime,First Maximum Value,First Maximum DateTime,Second Maximum Value,Second Maximum DateTime,Third Maximum Value,Third Maximum DateTime,Fourth Maximum Value,Fourth Maximum DateTime,50th Perecentile,75th Perecentile,90th Perecentile,95th Perecentile,98th Perecentile,99th Perecentile,Method Count,Tribe Name,State Name,County Name,City Name,Local Site Name,Address,MSA or CBSA Name,Data Source
6,37,4006,82203,1,33.8025000008727,-118.22,WGS84,Chloride PM10 STP,24 HOUR,,2019,Micrograms/cubic meter (25 C),No Events,59,97,.,.,59,61,0,Certification not required,2,0,,0.914576,1.431178,.,0,,,6.41,2019-04-09 00:00,5.62,2019-05-21 00:00,3.95,2019-07-02 00:00,3.71,2019-02-14 00:00,0.17,1.32,3.29,3.95,5.62,6.41,1,,California,Los Angeles,Long Beach,Long Beach (Hudson),"2425 Webster St., Long Beach, CA","Los Angeles-Long Beach-Anaheim, CA",AQS Data Mart
6,37,4006,42101,1,33.8025000008727,-118.22,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2019,Parts per million,No Events,7999,91,0,0,340,365,0,Certified,323,0,,0.315589,0.315144,.,-0.4,,,3,2019-01-04 07:00,2.4,2019-01-02 07:00,2.4,2019-01-04 06:00,2.4,2019-10-23 06:00,0.2,0.3,0.7,1,1.3,1.6,1,,California,Los Angeles,Long Beach,Long Beach (Hudson),"2425 Webster St., Long Beach, CA","Los Angeles-Long Beach-Anaheim, CA",AQS Data Mart
6,37,4006,42101,1,33.8025000008727,-118.22,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2019,Parts per million,No Events,7958,91,0,0,341,365,0,Certified,0,0,,0.319477,0.274683,.,-0.2,,,2.1,2019-11-09 07:00,2,2019-11-09 05:00,2,2019-11-09 06:00,1.9,2019-11-09 04:00,0.2,0.4,0.7,0.9,1.2,1.3,1,,California,Los Angeles,Long Beach,Long Beach (Hudson),"2425 Webster St., Long Beach, CA","Los Angeles-Long Beach-Anaheim, CA",AQS Data Mart
6,37,4006,42602,1,33.8025000008727,-118.22,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,2019,Parts per billion,No Events,8088,92,0,.,339,365,0,Certified,234,0,,29.147493,11.579507,.,7.5,,,71.8,2019-11-04 09:00,71.2,2019-10-24 08:00,62.9,2019-10-22 18:00,58.7,2019-04-08 11:00,28.2,36.3,44.8,51.3,55.4,58.7,1,,California,Los Angeles,Long Beach,Long Beach (Hudson),"2425 Webster St., Long Beach, CA","Los Angeles-Long Beach-Anaheim, CA",AQS Data Mart
6,37,4006,42602,1,33.8025000008727,-118.22,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,2019,Parts per billion,No Events,8088,92,.,.,339,365,0,Certified,234,0,,16.205069,10.807487,.,0.8,,,71.8,2019-11-04 09:00,71.2,2019-10-24 08:00,62.9,2019-10-22 18:00,59.8,2019-10-24 07:00,13.5,22.7,31.8,37.4,43.7,47.3,1,,California,Los Angeles,Long Beach,Long Beach (Hudson),"2425 Webster St., Long Beach, CA","Los Angeles-Long Beach-Anaheim, CA",AQS Data Mart
,,,,,,,,,,,,,,,,,,,,,,,,,22.676281,11.193497,,4.15,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,37,4006,61102,1,33.8025000008727,-118.22,WGS84,Wind Direction - Scalar,1 HOUR,,2019,Degrees Compass,No Events,8220,94,.,.,341,365,0,Certification not required,102,0,,173.850487,102.206854,.,0,,,360,2019-02-12 01:00,360,2019-03-11 04:00,360,2019-06-10 08:00,360,2019-06-25 20:00,169,284,300,329,349,354,1,,California,Los Angeles,Long Beach,Long Beach (Hudson),"2425 Webster St., Long Beach, CA","Los Angeles-Long Beach-Anaheim, CA",AQS Data Mart
6,37,4006,62201,1,33.8025000008727,-118.22,WGS84,Relative Humidity,1 HOUR,,2019,Percent relative humidity,No Events,7713,88,.,.,319,365,0,Certification not required,607,0,,69.548684,18.516002,.,5,,,100,2019-01-29 06:00,100,2019-02-14 04:00,100,2019-02-14 05:00,100,2019-02-14 06:00,73,83,90,93,96,98,1,,California,Los Angeles,Long Beach,Long Beach (Hudson),"2425 Webster St., Long Beach, CA","Los Angeles-Long Beach-Anaheim, CA",AQS Data Mart
6,37,4006,62101,1,33.8025000008727,-118.22,WGS84,Outdoor Temperature,1 HOUR,,2019,Degrees Fahrenheit,No Events,7703,88,.,.,318,365,0,Certification not required,619,0,,65.678229,8.581897,.,37.3,,,97.6,2019-10-24 13:00,97.6,2019-10-24 15:00,97.5,2019-10-24 14:00,97.4,2019-10-25 13:00,65.5,70.8,76.5,80.7,85.4,87.8,1,,California,Los Angeles,Long Beach,Long Beach (Hudson),"2425 Webster St., Long Beach, CA","Los Angeles-Long Beach-Anaheim, CA",AQS Data Mart
6,37,4006,82306,1,33.8025000008727,-118.22,WGS84,Nitrate PM10 STP,24 HOUR,,2019,Micrograms/cubic meter (25 C),Events Inclucded,59,97,.,.,59,61,1,Certification not required,2,0,,2.057966,1.597172,.,0.11,,,6.94,2019-01-09 00:00,5.8,2019-07-26 00:00,5.55,2019-11-11 00:00,4.69,2019-02-26 00:00,1.49,3.03,4.22,5.55,5.8,6.94,1,,California,Los Angeles,Long Beach,Long Beach (Hudson),"2425 Webster St., Long Beach, CA","Los Angeles-Long Beach-Anaheim, CA",AQS Data Mart
6,37,4006,85101,1,33.8025000008727,-118.22,WGS84,PM10 - LC,24 HOUR,,2019,Micrograms/cubic meter (LC),Events Inclucded,59,97,.,.,59,61,1,Certification not required,2,0,,29.118644,21.405836,.,7,,,155,2019-04-09 00:00,74,2019-10-30 00:00,63,2019-10-24 00:00,52,2019-05-21 00:00,25,36,44,63,74,155,1,,California,Los Angeles,Long Beach,Long Beach (Hudson),"2425 Webster St., Long Beach, CA","Los Angeles-Long Beach-Anaheim, CA",AQS Data Mart
6,37,4006,42601,1,33.8025000008727,-118.22,WGS84,Nitric oxide (NO),1 HOUR,,2019,Parts per billion,No Events,8088,92,.,.,339,365,0,Certification not required,234,0,,9.527498,23.101124,.,-2.4,,,224.7,2019-01-04 07:00,201.8,2019-10-25 06:00,193.2,2019-10-22 06:00,184.3,2019-12-03 07:00,1.5,6.3,30.1,57.2,93.3,121.7,1,,California,Los Angeles,Long Beach,Long Beach (Hudson),"2425 Webster St., Long Beach, CA","Los Angeles-Long Beach-Anaheim, CA",AQS Data Mart
6,37,4006,42401,1,33.8025000008727,-118.22,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,2019,Parts per billion,No Events,8094,92,0,.,339,365,0,Certified,228,0,,1.972861,1.655858,.,0,,,8.9,2019-10-05 09:00,8.7,2019-01-27 14:00,7.8,2019-09-03 09:00,7.7,2019-11-04 10:00,1.5,2.7,4.2,5.6,7.2,7.7,1,,California,Los Angeles,Long Beach,Long Beach (Hudson),"2425 Webster St., Long Beach, CA","Los Angeles-Long Beach-Anaheim, CA",AQS Data Mart
6,37,4006,42401,1,33.8025000008727,-118.22,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,2019,Parts per billion,No Events,2667,91,.,0,335,365,0,Certified,0,0,,0.42156,0.703349,.,-0.2,,,5.9,2019-07-24 11:00,5.8,2019-10-05 11:00,5.3,2019-01-27 14:00,5.1,2019-08-25 11:00,0.2,0.6,1.2,1.8,2.7,3.3,1,,California,Los Angeles,Long Beach,Long Beach (Hudson),"2425 Webster St., Long Beach, CA","Los Angeles-Long Beach-Anaheim, CA",AQS Data Mart
6,37,4006,42401,2,33.8025000008727,-118.22,WGS84,Sulfur dioxide,5 MINUTE,,2019,Parts per billion,No Events,85656,81,.,.,328,365,0,Certification not required,14178,0,,0.484677,0.899841,.,-0.3,,,15,2019-08-23 17:05,14.2,2019-11-04 10:15,14.1,2019-01-27 14:55,13.9,2019-01-27 14:45,0.2,0.6,1.4,2.2,3.4,4.3,1,,California,Los Angeles,Long Beach,Long Beach (Hudson),"2425 Webster St., Long Beach, CA","Los Angeles-Long Beach-Anaheim, CA",AQS Data Mart
6,37,4006,42603,1,33.8025000008727,-118.22,WGS84,Oxides of nitrogen (NOx),1 HOUR,,2019,Parts per billion,No Events,8088,92,.,.,339,365,0,Certification not required,234,0,,25.757134,30.930718,.,-1,,,266.9,2019-01-04 07:00,247.6,2019-10-25 06:00,240.1,2019-10-22 06:00,228.1,2019-10-11 06:00,15.2,29.7,62.9,90.3,131.8,158,1,,California,Los Angeles,Long Beach,Long Beach (Hudson),"2425 Webster St., Long Beach, CA","Los Angeles-Long Beach-Anaheim, CA",AQS Data Mart
