State Code,County Code,Site Number,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Duration Description,Pollutant Standard,Year,Units of Measure,Exceptional Data Type,Observation Count,Observation Percent,Primary Exceedance Count,Secdary Exceedance Count,Valid Day Count,Required Day Count,Exceptional Data Count,Certification Indicator,Null Data Count,Half MDL Sub Count,Nonregulatory Arithmetic Mean,Arithmetic Mean,Arithmetic Standard Dev,Weighted Arithmetic Mean,Minimum Value,Nonreg First Maximum Value,Nonreg First Maximum DateTime,First Maximum Value,First Maximum DateTime,Second Maximum Value,Second Maximum DateTime,Third Maximum Value,Third Maximum DateTime,Fourth Maximum Value,Fourth Maximum DateTime,50th Perecentile,75th Perecentile,90th Perecentile,95th Perecentile,98th Perecentile,99th Perecentile,Method Count,Tribe Name,State Name,County Name,City Name,Local Site Name,Address,MSA or CBSA Name,Data Source
6,47,3,61102,1,37.281853,-120.433671,NAD83,Wind Direction - Scalar,1 HOUR,,2019,Degrees Compass,No Events,5081,58,.,.,211,365,0,Certification not required,3679,0,,184.754773,103.138456,.,0,,,360,2019-04-09 16:00,360,2019-10-04 04:00,360,2019-10-30 00:00,360,2019-11-01 19:00,163,292,312,329,346,353,1,,California,Merced,,Merced-Coffee,"385 S. COFFEE AVENUE, MERCED, CA 95340","Merced, CA",AQS Data Mart
6,47,3,61104,1,37.281853,-120.433671,NAD83,Wind Direction - Resultant,1 HOUR,,2019,Degrees Compass,No Events,4337,50,.,.,180,365,0,Certification not required,3679,0,,187.193728,102.77966,.,0.5,,,359.9,2019-12-14 23:00,359.3,2019-03-02 22:00,358.6,2019-10-06 22:00,358.2,2019-11-26 04:00,168.5,291,309.5,326.6,343.9,351.4,1,,California,Merced,,Merced-Coffee,"385 S. COFFEE AVENUE, MERCED, CA 95340","Merced, CA",AQS Data Mart
6,47,3,62101,1,37.281853,-120.433671,NAD83,Outdoor Temperature,1 HOUR,,2019,Degrees Fahrenheit,No Events,8733,100,.,.,364,365,0,Certification not required,15,0,,62.868888,15.000759,.,30,,,104,2019-08-16 15:00,103,2019-07-28 15:00,103,2019-08-16 14:00,103,2019-08-16 16:00,61,73,85,91,95,98,1,,California,Merced,,Merced-Coffee,"385 S. COFFEE AVENUE, MERCED, CA 95340","Merced, CA",AQS Data Mart
6,47,3,61103,1,37.281853,-120.433671,NAD83,Wind Speed - Resultant,1 HOUR,,2019,Knots,No Events,4337,50,.,.,180,365,0,Certification not required,3679,0,,2.913788,2.624271,.,0.1,,,17.5,2019-02-03 02:00,17.3,2019-02-03 03:00,17,2019-02-02 23:00,17,2019-03-05 15:00,2,3.6,6.3,8.2,12.2,13.6,1,,California,Merced,,Merced-Coffee,"385 S. COFFEE AVENUE, MERCED, CA 95340","Merced, CA",AQS Data Mart
6,47,3,61101,1,37.281853,-120.433671,NAD83,Wind Speed - Scalar,1 HOUR,,2019,Knots,No Events,8733,100,.,.,364,365,0,Certification not required,15,0,,3.511302,2.306912,.,0.6,,,19.2,2019-01-06 19:00,19,2019-01-06 20:00,18.5,2019-01-06 18:00,18.1,2019-01-06 21:00,3,4.4,6,7.7,10.6,13.2,1,,California,Merced,,Merced-Coffee,"385 S. COFFEE AVENUE, MERCED, CA 95340","Merced, CA",AQS Data Mart
6,47,3,88101,3,37.281853,-120.433671,NAD83,PM2.5 - Local Conditions,1 HOUR,,2019,Micrograms/cubic meter (LC),No Events,8611,98,.,.,362,365,0,Certified,137,0,,9.221113,6.73965,.,-3,,,129,2019-08-23 06:00,116,2019-07-04 21:00,105,2019-07-04 20:00,77,2019-01-01 00:00,8,11,17,22,28,34,1,,California,Merced,,Merced-Coffee,"385 S. COFFEE AVENUE, MERCED, CA 95340","Merced, CA",AQS Data Mart
6,47,3,88101,3,37.281853,-120.433671,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,2019,Micrograms/cubic meter (LC),No Events,359,98,1,1,359,365,0,Certified,0,0,,9.18078,5.107366,9.14535485933504,2.2,,,35.5,2019-01-30 00:00,29.5,2019-01-29 00:00,26.3,2019-01-28 00:00,25.7,2019-01-04 00:00,7.7,10.7,16.4,22,23.4,25.7,1,,California,Merced,,Merced-Coffee,"385 S. COFFEE AVENUE, MERCED, CA 95340","Merced, CA",AQS Data Mart
6,47,3,88101,3,37.281853,-120.433671,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2012,2019,Micrograms/cubic meter (LC),No Events,359,98,.,.,359,365,0,Certified,0,0,,9.18078,5.107366,9.14535485933504,2.2,,,35.5,2019-01-30 00:00,29.5,2019-01-29 00:00,26.3,2019-01-28 00:00,25.7,2019-01-04 00:00,7.7,10.7,16.4,22,23.4,25.7,1,,California,Merced,,Merced-Coffee,"385 S. COFFEE AVENUE, MERCED, CA 95340","Merced, CA",AQS Data Mart
6,47,3,42602,1,37.281853,-120.433671,NAD83,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,2019,Parts per billion,No Events,8282,95,0,.,360,365,0,Certified,466,0,,14.831667,7.235925,.,3.1,,,38.7,2019-11-07 18:00,38,2019-10-07 19:00,37.5,2019-11-13 19:00,36.2,2019-11-18 19:00,13.9,19.3,25.2,28.6,33.6,36.2,1,,California,Merced,,Merced-Coffee,"385 S. COFFEE AVENUE, MERCED, CA 95340","Merced, CA",AQS Data Mart
6,47,3,42602,1,37.281853,-120.433671,NAD83,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,2019,Parts per billion,No Events,8282,95,.,.,360,365,0,Certified,466,0,,6.274088,4.982959,.,0.7,,,38.7,2019-11-07 18:00,38,2019-10-07 19:00,37.7,2019-10-07 22:00,37.5,2019-11-13 19:00,4.5,8,13.2,16.5,21,24.4,1,,California,Merced,,Merced-Coffee,"385 S. COFFEE AVENUE, MERCED, CA 95340","Merced, CA",AQS Data Mart
