State Code,County Code,Site Number,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Duration Description,Pollutant Standard,Year,Units of Measure,Exceptional Data Type,Observation Count,Observation Percent,Primary Exceedance Count,Secdary Exceedance Count,Valid Day Count,Required Day Count,Exceptional Data Count,Certification Indicator,Null Data Count,Half MDL Sub Count,Nonregulatory Arithmetic Mean,Arithmetic Mean,Arithmetic Standard Dev,Weighted Arithmetic Mean,Minimum Value,Nonreg First Maximum Value,Nonreg First Maximum DateTime,First Maximum Value,First Maximum DateTime,Second Maximum Value,Second Maximum DateTime,Third Maximum Value,Third Maximum DateTime,Fourth Maximum Value,Fourth Maximum DateTime,50th Perecentile,75th Perecentile,90th Perecentile,95th Perecentile,98th Perecentile,99th Perecentile,Method Count,Tribe Name,State Name,County Name,City Name,Local Site Name,Address,MSA or CBSA Name,Data Source
6,71,26,61102,1,34.0681200008759,-117.52579,NAD83,Wind Direction - Scalar,1 HOUR,,2019,Degrees Compass,No Events,8755,100,.,.,365,365,0,Certification not required,5,0,,176.384923,93.864228,.,0,,,360,2019-01-14 08:00,360,2019-01-19 06:00,360,2019-02-01 04:00,360,2019-09-15 21:00,221,242,257,284,339,354,1,,California,San Bernardino,Ontario,Ontario Near Road (Etiwanda),NW Corner Interstate 10 & Etiwanda Ave,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,26,61104,1,34.0681200008759,-117.52579,NAD83,Wind Direction - Resultant,1 HOUR,,2019,Degrees Compass,No Events,8755,100,.,.,365,365,0,Certification not required,5,0,,174.839977,92.895502,.,0,,,360,2019-01-08 20:00,360,2019-03-06 12:00,360,2019-04-17 03:00,360,2019-12-12 03:00,221,241,253,273,333,348,1,,California,San Bernardino,Ontario,Ontario Near Road (Etiwanda),NW Corner Interstate 10 & Etiwanda Ave,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,26,62101,1,34.0681200008759,-117.52579,NAD83,Outdoor Temperature,1 HOUR,,2019,Degrees Fahrenheit,No Events,8755,100,.,.,365,365,0,Certification not required,5,0,,65.486008,12.596781,.,36,,,103,2019-06-11 12:00,103,2019-06-11 13:00,102,2019-06-11 11:00,101,2019-06-10 12:00,64,74,84,89,94,96,1,,California,San Bernardino,Ontario,Ontario Near Road (Etiwanda),NW Corner Interstate 10 & Etiwanda Ave,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,26,61103,1,34.0681200008759,-117.52579,NAD83,Wind Speed - Resultant,1 HOUR,,2019,Knots,No Events,8755,100,.,.,365,365,0,Certification not required,5,0,,4.096425,3.631536,.,0,,,31.8,2019-01-26 10:00,29.3,2019-01-26 12:00,29.2,2019-01-22 09:00,28.4,2019-01-26 13:00,2.8,5.7,8.9,10.6,15,17.8,1,,California,San Bernardino,Ontario,Ontario Near Road (Etiwanda),NW Corner Interstate 10 & Etiwanda Ave,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,26,61101,1,34.0681200008759,-117.52579,NAD83,Wind Speed - Scalar,1 HOUR,,2019,Knots,No Events,8755,100,.,.,365,365,0,Certification not required,5,0,,4.34209,3.549234,.,0.3,,,31.9,2019-01-26 10:00,29.3,2019-01-26 12:00,29.2,2019-01-22 09:00,28.5,2019-01-26 13:00,3,5.8,9,10.7,15.1,18,1,,California,San Bernardino,Ontario,Ontario Near Road (Etiwanda),NW Corner Interstate 10 & Etiwanda Ave,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,26,64101,1,34.0681200008759,-117.52579,NAD83,Barometric pressure,1 HOUR,,2019,Millibars,No Events,8759,100,.,.,365,365,0,Certification not required,1,0,,978.083457,3.528704,.,963.6,,,990,2019-01-23 10:00,989.5,2019-01-23 09:00,989.4,2019-01-23 11:00,989,2019-01-22 23:00,977.9,980,983,984.3,985.6,986.6,1,,California,San Bernardino,Ontario,Ontario Near Road (Etiwanda),NW Corner Interstate 10 & Etiwanda Ave,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,26,42602,1,34.0681200008759,-117.52579,NAD83,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,2019,Parts per billion,No Events,8162,93,0,.,339,365,0,Certified,598,0,,41.420354,12.962386,.,2.4,,,86.3,2019-11-05 17:00,84.4,2019-11-04 17:00,79.6,2019-11-07 17:00,75.4,2019-06-10 19:00,40.8,49.4,57.5,63.1,70.5,75.4,1,,California,San Bernardino,Ontario,Ontario Near Road (Etiwanda),NW Corner Interstate 10 & Etiwanda Ave,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
6,71,26,42602,1,34.0681200008759,-117.52579,NAD83,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,2019,Parts per billion,No Events,8162,93,.,.,339,365,0,Certified,598,0,,27.634673,12.404064,.,-0.2,,,86.3,2019-11-05 17:00,84.4,2019-11-04 17:00,82.3,2019-11-04 18:00,79.6,2019-11-07 17:00,27.2,35.7,43.6,48.6,55,59,1,,California,San Bernardino,Ontario,Ontario Near Road (Etiwanda),NW Corner Interstate 10 & Etiwanda Ave,"Riverside-San Bernardino-Ontario, CA",AQS Data Mart
,,,,,,,,,,,,,,,,,,,,,,,,,34.5275135,12.683225,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
