State Code,County Code,Site Number,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Duration Description,Pollutant Standard,Year,Units of Measure,Exceptional Data Type,Observation Count,Observation Percent,Primary Exceedance Count,Secdary Exceedance Count,Valid Day Count,Required Day Count,Exceptional Data Count,Certification Indicator,Null Data Count,Half MDL Sub Count,Nonregulatory Arithmetic Mean,Arithmetic Mean,Arithmetic Standard Dev,Weighted Arithmetic Mean,Minimum Value,Nonreg First Maximum Value,Nonreg First Maximum DateTime,First Maximum Value,First Maximum DateTime,Second Maximum Value,Second Maximum DateTime,Third Maximum Value,Third Maximum DateTime,Fourth Maximum Value,Fourth Maximum DateTime,50th Perecentile,75th Perecentile,90th Perecentile,95th Perecentile,98th Perecentile,99th Perecentile,Method Count,Tribe Name,State Name,County Name,City Name,Local Site Name,Address,MSA or CBSA Name,Data Source
6,53,1003,68105,2,36.6942610009043,-121.623271,NAD83,Average Ambient Temperature,24 HOUR,,2019,Degrees Centigrade,No Events,60,98,.,.,60,61,0,Certification not required,1,0,,14.361667,3.117098,.,6.7,,,22.8,2019-10-24 00:00,21.8,2019-09-12 00:00,21.7,2019-09-24 00:00,19.6,2019-10-06 00:00,14.1,15.9,18.4,21.7,21.8,22.8,1,,California,Monterey,Salinas,Salinas 3,867 E. LAUREL Dr,"Salinas, CA",AQS Data Mart
6,53,1003,61102,1,36.6942610009043,-121.623271,NAD83,Wind Direction - Scalar,1 HOUR,,2019,Degrees Compass,No Events,8743,100,.,.,365,365,0,Certification not required,17,0,,229.988905,87.606114,.,0,,,359,2019-01-01 13:00,359,2019-03-02 21:00,359,2019-03-17 13:00,359,2019-03-22 20:00,268,301,321,335,347,353,1,,California,Monterey,Salinas,Salinas 3,867 E. LAUREL Dr,"Salinas, CA",AQS Data Mart
6,53,1003,62101,1,36.6942610009043,-121.623271,NAD83,Outdoor Temperature,1 HOUR,,2019,Degrees Fahrenheit,No Events,8742,100,.,.,365,365,0,Certification not required,18,0,,56.452871,7.644382,.,32,,,96,2019-06-10 11:00,96,2019-09-25 12:00,94,2019-09-13 11:00,93,2019-06-10 10:00,56,61,66,69,74,79,1,,California,Monterey,Salinas,Salinas 3,867 E. LAUREL Dr,"Salinas, CA",AQS Data Mart
6,53,1003,61101,1,36.6942610009043,-121.623271,NAD83,Wind Speed - Scalar,1 HOUR,,2019,Knots,No Events,8743,100,.,.,365,365,0,Certification not required,17,0,,5.780384,3.828029,.,0.5,,,89.6,2019-12-04 14:00,61,2019-05-19 01:00,27.8,2019-02-13 06:00,27.6,2019-02-13 05:00,4.9,8.2,10.5,12.4,15.5,17.6,1,,California,Monterey,Salinas,Salinas 3,867 E. LAUREL Dr,"Salinas, CA",AQS Data Mart
6,53,1003,88101,3,36.6942610009043,-121.623271,NAD83,PM2.5 - Local Conditions,1 HOUR,,2019,Micrograms/cubic meter (LC),No Events,8587,98,.,.,363,365,0,Certified,173,0,,4.190521,9.045002,.,-5,,,634,2019-06-15 16:00,346,2019-06-15 15:00,162,2019-01-01 01:00,135,2019-06-15 18:00,4,6,9,11,14,16,1,,California,Monterey,Salinas,Salinas 3,867 E. LAUREL Dr,"Salinas, CA",AQS Data Mart
6,53,1003,88101,3,36.6942610009043,-121.623271,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,2019,Micrograms/cubic meter (LC),No Events,359,98,1,1,359,365,0,Certified,0,0,,4.143733,3.67641,4.14774446110278,-1.2,,,53,2019-06-15 00:00,18.8,2019-01-01 00:00,13.6,2019-12-31 00:00,12.5,2019-11-08 00:00,3.6,5.6,7.5,9,10,12.5,1,,California,Monterey,Salinas,Salinas 3,867 E. LAUREL Dr,"Salinas, CA",AQS Data Mart
6,53,1003,88101,2,36.6942610009043,-121.623271,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,2019,Micrograms/cubic meter (LC),No Events,60,98,0,0,60,61,0,Certified,1,0,,5.638333,2.904298,5.62046130952381,0.8,,,12.6,2019-11-23 00:00,12.3,2019-10-30 00:00,12,2019-11-05 00:00,9.9,2019-04-21 00:00,5.4,7.6,9.9,12,12.3,12.6,1,,California,Monterey,Salinas,Salinas 3,867 E. LAUREL Dr,"Salinas, CA",AQS Data Mart
6,53,1003,88101,3,36.6942610009043,-121.623271,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2012,2019,Micrograms/cubic meter (LC),No Events,359,98,.,.,359,365,0,Certified,0,0,,4.143733,3.67641,4.14774446110278,-1.2,,,53,2019-06-15 00:00,18.8,2019-01-01 00:00,13.6,2019-12-31 00:00,12.5,2019-11-08 00:00,3.6,5.6,7.5,9,10,12.5,1,,California,Monterey,Salinas,Salinas 3,867 E. LAUREL Dr,"Salinas, CA",AQS Data Mart
6,53,1003,88101,2,36.6942610009043,-121.623271,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2012,2019,Micrograms/cubic meter (LC),No Events,60,98,.,.,60,61,0,Certified,1,0,,5.638333,2.904298,5.62046130952381,0.8,,,12.6,2019-11-23 00:00,12.3,2019-10-30 00:00,12,2019-11-05 00:00,9.9,2019-04-21 00:00,5.4,7.6,9.9,12,12.3,12.6,1,,California,Monterey,Salinas,Salinas 3,867 E. LAUREL Dr,"Salinas, CA",AQS Data Mart
6,53,1003,68108,2,36.6942610009043,-121.623271,NAD83,Average Ambient Pressure,24 HOUR,,2019,Millimeters (mercury),No Events,60,98,.,.,59,61,0,Certification not required,1,0,,757.6,3.25316,.,746,,,765,2019-03-27 00:00,763,2019-01-21 00:00,763,2019-04-09 00:00,763,2019-12-11 00:00,757,760,762,763,763,765,1,,California,Monterey,Salinas,Salinas 3,867 E. LAUREL Dr,"Salinas, CA",AQS Data Mart
