State Code,County Code,Site Number,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Duration Description,Pollutant Standard,Year,Units of Measure,Exceptional Data Type,Observation Count,Observation Percent,Primary Exceedance Count,Secdary Exceedance Count,Valid Day Count,Required Day Count,Exceptional Data Count,Certification Indicator,Null Data Count,Half MDL Sub Count,Nonregulatory Arithmetic Mean,Arithmetic Mean,Arithmetic Standard Dev,Weighted Arithmetic Mean,Minimum Value,Nonreg First Maximum Value,Nonreg First Maximum DateTime,First Maximum Value,First Maximum DateTime,Second Maximum Value,Second Maximum DateTime,Third Maximum Value,Third Maximum DateTime,Fourth Maximum Value,Fourth Maximum DateTime,50th Perecentile,75th Perecentile,90th Perecentile,95th Perecentile,98th Perecentile,99th Perecentile,Method Count,Tribe Name,State Name,County Name,City Name,Local Site Name,Address,MSA or CBSA Name,Data Source
6,83,1008,61104,1,34.942872,-120.435611,NAD83,Wind Direction - Resultant,1 HOUR,,2019,Degrees Compass,No Events,8738,100,.,.,364,365,0,Certification not required,22,0,,211.746624,96.377418,.,0,,,360,2019-04-06 09:00,359,2019-01-01 12:00,359,2019-03-29 22:00,359,2019-04-01 23:00,260,290,307,322,340,349,1,,California,Santa Barbara,Santa Maria,Santa Maria,906 S BROADWAY - SANTA MARIA,"Santa Maria-Santa Barbara, CA",AQS Data Mart
6,83,1008,62102,1,34.942872,-120.435611,NAD83,Virtual Temperature,1 HOUR,,2019,Degrees Fahrenheit,No Events,8738,100,.,.,364,365,0,Certification not required,22,0,,56.937594,7.602121,.,33.4,,,91.2,2019-09-24 11:00,90,2019-10-22 12:00,89.8,2019-09-24 10:00,87.3,2019-09-24 12:00,56.7,61.2,66.4,69.8,74.7,77.7,1,,California,Santa Barbara,Santa Maria,Santa Maria,906 S BROADWAY - SANTA MARIA,"Santa Maria-Santa Barbara, CA",AQS Data Mart
6,83,1008,62101,2,34.942872,-120.435611,NAD83,Outdoor Temperature,1 HOUR,,2019,Degrees Fahrenheit,No Events,8750,100,.,.,364,365,0,Certification not required,10,0,,57.926411,8.25727,.,33.6,,,95,2019-09-24 11:00,93.7,2019-10-22 12:00,93,2019-09-24 10:00,91.2,2019-10-24 11:00,57.2,62.6,68.7,72.1,77.5,81,1,,California,Santa Barbara,Santa Maria,Santa Maria,906 S BROADWAY - SANTA MARIA,"Santa Maria-Santa Barbara, CA",AQS Data Mart
6,83,1008,61103,1,34.942872,-120.435611,NAD83,Wind Speed - Resultant,1 HOUR,,2019,Knots,No Events,8738,100,.,.,364,365,0,Certification not required,22,0,,3.742527,2.493452,.,0.1,,,15.8,2019-02-13 10:00,15.2,2019-02-13 11:00,15.1,2019-02-02 04:00,14.7,2019-02-02 02:00,3.1,5.3,7.3,8.7,10.2,11.1,1,,California,Santa Barbara,Santa Maria,Santa Maria,906 S BROADWAY - SANTA MARIA,"Santa Maria-Santa Barbara, CA",AQS Data Mart
6,83,1008,61101,1,34.942872,-120.435611,NAD83,Wind Speed - Scalar,1 HOUR,,2019,Knots,No Events,8738,100,.,.,364,365,0,Certification not required,22,0,,4.015862,2.411627,.,0.5,,,15.9,2019-02-13 10:00,15.5,2019-02-02 06:00,15.3,2019-02-13 11:00,15.2,2019-02-02 04:00,3.3,5.5,7.5,8.9,10.4,11.2,1,,California,Santa Barbara,Santa Maria,Santa Maria,906 S BROADWAY - SANTA MARIA,"Santa Maria-Santa Barbara, CA",AQS Data Mart
6,83,1008,81102,3,34.942872,-120.435611,NAD83,PM10 Total 0-10um STP,24-HR BLK AVG,PM10 24-hour 2006,2019,Micrograms/cubic meter (25 C),No Events,353,97,0,0,353,365,0,Certified,0,0,,22.028329,14.289789,22.028328611898,3,,,132,2019-10-28 00:00,87,2019-11-25 00:00,86,2019-04-09 00:00,69,2019-09-13 00:00,18,28,40,48,57,69,1,,California,Santa Barbara,Santa Maria,Santa Maria,906 S BROADWAY - SANTA MARIA,"Santa Maria-Santa Barbara, CA",AQS Data Mart
6,83,1008,81102,3,34.942872,-120.435611,NAD83,PM10 Total 0-10um STP,1 HOUR,,2019,Micrograms/cubic meter (25 C),No Events,8510,97,.,.,353,365,0,Certified,250,0,,22.601998,22.118212,.,-3,,,393,2019-11-25 15:00,326,2019-09-07 15:00,280,2019-09-30 14:00,272,2019-04-09 15:00,17,29,44,57,80,108,1,,California,Santa Barbara,Santa Maria,Santa Maria,906 S BROADWAY - SANTA MARIA,"Santa Maria-Santa Barbara, CA",AQS Data Mart
6,83,1008,85101,2,34.942872,-120.435611,NAD83,PM10 - LC,1 HOUR,,2019,Micrograms/cubic meter (LC),No Events,8510,97,.,.,353,365,0,Certification not required,250,0,,23.182256,22.354998,.,-3,,,396,2019-11-25 15:00,329,2019-09-07 15:00,283,2019-09-30 14:00,279,2019-04-09 15:00,18,29,45,58,80,110,1,,California,Santa Barbara,Santa Maria,Santa Maria,906 S BROADWAY - SANTA MARIA,"Santa Maria-Santa Barbara, CA",AQS Data Mart
6,83,1008,88101,3,34.942872,-120.435611,NAD83,PM2.5 - Local Conditions,1 HOUR,,2019,Micrograms/cubic meter (LC),No Events,8549,98,.,.,363,365,0,Certified,211,0,,4.885133,4.178028,.,-2,,,63,2019-07-04 20:00,48,2019-04-09 15:00,47,2019-04-09 16:00,42,2019-03-30 16:00,4,7,10,12,15,18,1,,California,Santa Barbara,Santa Maria,Santa Maria,906 S BROADWAY - SANTA MARIA,"Santa Maria-Santa Barbara, CA",AQS Data Mart
6,83,1008,88101,3,34.942872,-120.435611,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,2019,Micrograms/cubic meter (LC),No Events,359,98,0,0,359,365,0,Certified,0,0,,4.816156,2.690022,4.83805431634426,-0.3,,,14.7,2019-04-09 00:00,14.2,2019-04-23 00:00,13.2,2019-04-22 00:00,12.8,2019-06-07 00:00,4.3,6.3,8.5,10.1,12,12.8,1,,California,Santa Barbara,Santa Maria,Santa Maria,906 S BROADWAY - SANTA MARIA,"Santa Maria-Santa Barbara, CA",AQS Data Mart
