State Code,County Code,Site Number,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Duration Description,Pollutant Standard,Year,Units of Measure,Exceptional Data Type,Observation Count,Observation Percent,Primary Exceedance Count,Secdary Exceedance Count,Valid Day Count,Required Day Count,Exceptional Data Count,Certification Indicator,Null Data Count,Half MDL Sub Count,Nonregulatory Arithmetic Mean,Arithmetic Mean,Arithmetic Standard Dev,Weighted Arithmetic Mean,Minimum Value,Nonreg First Maximum Value,Nonreg First Maximum DateTime,First Maximum Value,First Maximum DateTime,Second Maximum Value,Second Maximum DateTime,Third Maximum Value,Third Maximum DateTime,Fourth Maximum Value,Fourth Maximum DateTime,50th Perecentile,75th Perecentile,90th Perecentile,95th Perecentile,98th Perecentile,99th Perecentile,Method Count,Tribe Name,State Name,County Name,City Name,Local Site Name,Address,MSA or CBSA Name,Data Source
6,85,5,68116,5,37.348497,-121.894898,WGS84,Sample Volume - Quartz Filter,24 HOUR,,2019,Cubic meter,No Events,120,99,.,.,120,121,0,Certification not required,1,0,,31.7,0,.,31.7,,,31.7,2019-01-03 00:00,31.7,2019-01-06 00:00,31.7,2019-01-09 00:00,31.7,2019-01-12 00:00,31.7,31.7,31.7,31.7,31.7,31.7,1,,California,Santa Clara,San Jose,San Jose - Jackson,158B JACKSON ST,"San Jose-Sunnyvale-Santa Clara, CA",AQS Data Mart
6,85,5,68115,5,37.348497,-121.894898,WGS84,Sample Volume - Nylon Filter,24 HOUR,,2019,Cubic meter,No Events,121,100,.,.,121,121,0,Certification not required,0,0,,9.7,0,.,9.7,,,9.7,2019-01-03 00:00,9.7,2019-01-06 00:00,9.7,2019-01-09 00:00,9.7,2019-01-12 00:00,9.7,9.7,9.7,9.7,9.7,9.7,1,,California,Santa Clara,San Jose,San Jose - Jackson,158B JACKSON ST,"San Jose-Sunnyvale-Santa Clara, CA",AQS Data Mart
6,85,5,68114,5,37.348497,-121.894898,WGS84,Sample Volume - Teflon Filter,24 HOUR,,2019,Cubic meter,No Events,121,100,.,.,121,121,0,Certification not required,0,0,,9.7,0,.,9.7,,,9.7,2019-01-03 00:00,9.7,2019-01-06 00:00,9.7,2019-01-09 00:00,9.7,2019-01-12 00:00,9.7,9.7,9.7,9.7,9.7,9.7,1,,California,Santa Clara,San Jose,San Jose - Jackson,158B JACKSON ST,"San Jose-Sunnyvale-Santa Clara, CA",AQS Data Mart
6,85,5,68117,5,37.348497,-121.894898,WGS84,Average Ambient Temperature for URG3000N,24 HOUR,,2019,Degrees Centigrade,No Events,120,99,.,.,120,121,0,Certification not required,1,0,,16.781667,5.001109,.,6.8,,,30.7,2019-06-11 00:00,26.2,2019-04-24 00:00,26.1,2019-08-16 00:00,25.3,2019-09-24 00:00,16.2,20.7,23,24.9,26.1,26.2,1,,California,Santa Clara,San Jose,San Jose - Jackson,158B JACKSON ST,"San Jose-Sunnyvale-Santa Clara, CA",AQS Data Mart
6,85,5,68105,5,37.348497,-121.894898,WGS84,Average Ambient Temperature,24 HOUR,,2019,Degrees Centigrade,No Events,121,100,.,.,121,121,0,Certification not required,0,0,,15.942975,4.835732,.,6.2,,,30.8,2019-06-11 00:00,25.6,2019-08-16 00:00,24.8,2019-09-24 00:00,24.5,2019-08-13 00:00,15.4,19.6,22,24.2,24.8,25.6,1,,California,Santa Clara,San Jose,San Jose - Jackson,158B JACKSON ST,"San Jose-Sunnyvale-Santa Clara, CA",AQS Data Mart
6,85,5,68105,1,37.348497,-121.894898,WGS84,Average Ambient Temperature,24 HOUR,,2019,Degrees Centigrade,No Events,124,100,.,.,120,121,0,Certification not required,0,0,,15.675,4.872699,.,5.7,,,30.2,2019-06-11 00:00,25.2,2019-08-16 00:00,24.8,2019-09-24 00:00,24.2,2019-09-12 00:00,15.2,19.5,21.9,23.7,24.8,25.2,1,,California,Santa Clara,San Jose,San Jose - Jackson,158B JACKSON ST,"San Jose-Sunnyvale-Santa Clara, CA",AQS Data Mart
6,85,5,61104,1,37.348497,-121.894898,WGS84,Wind Direction - Resultant,1 HOUR,,2019,Degrees Compass,No Events,7698,88,.,.,316,365,0,Certification not required,0,0,,240.32628,93.18067,.,0.1,,,359.8,2019-12-08 06:00,359.7,2019-01-07 03:00,359.7,2019-12-26 18:00,359.5,2019-01-29 23:00,273.3,325.7,338.4,345.6,351.9,354.8,1,,California,Santa Clara,San Jose,San Jose - Jackson,158B JACKSON ST,"San Jose-Sunnyvale-Santa Clara, CA",AQS Data Mart
6,85,5,62101,1,37.348497,-121.894898,WGS84,Outdoor Temperature,1 HOUR,,2019,Degrees Fahrenheit,No Events,7446,85,.,.,302,365,0,Certification not required,0,0,,61.236771,10.603923,.,34,,,98,2019-06-10 12:00,98,2019-06-10 15:00,98,2019-06-11 13:00,98,2019-06-11 14:00,60,68,76,81,86,89,1,,California,Santa Clara,San Jose,San Jose - Jackson,158B JACKSON ST,"San Jose-Sunnyvale-Santa Clara, CA",AQS Data Mart
6,85,5,62103,1,37.348497,-121.894898,WGS84,Dew Point,1 HOUR,,2019,Degrees Fahrenheit,No Events,7439,85,.,.,301,365,0,Certification not required,0,0,,49.276516,8.589627,.,11,,,72,2019-08-21 18:00,71,2019-08-22 08:00,70,2019-08-22 09:00,67,2019-08-03 19:00,51,55,59,61,63,64,1,,California,Santa Clara,San Jose,San Jose - Jackson,158B JACKSON ST,"San Jose-Sunnyvale-Santa Clara, CA",AQS Data Mart
6,85,5,61103,1,37.348497,-121.894898,WGS84,Wind Speed - Resultant,1 HOUR,,2019,Knots,No Events,7698,88,.,.,316,365,0,Certification not required,0,0,,6.113133,4.262788,.,0,,,27.6,2019-11-30 23:00,25.6,2019-12-01 18:00,25.4,2019-11-30 22:00,25.2,2019-11-30 14:00,5,8.9,12.2,14,16.1,18.4,1,,California,Santa Clara,San Jose,San Jose - Jackson,158B JACKSON ST,"San Jose-Sunnyvale-Santa Clara, CA",AQS Data Mart
