State Code,County Code,Site Number,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Duration Description,Pollutant Standard,Year,Units of Measure,Exceptional Data Type,Observation Count,Observation Percent,Primary Exceedance Count,Secdary Exceedance Count,Valid Day Count,Required Day Count,Exceptional Data Count,Certification Indicator,Null Data Count,Half MDL Sub Count,Nonregulatory Arithmetic Mean,Arithmetic Mean,Arithmetic Standard Dev,Weighted Arithmetic Mean,Minimum Value,Nonreg First Maximum Value,Nonreg First Maximum DateTime,First Maximum Value,First Maximum DateTime,Second Maximum Value,Second Maximum DateTime,Third Maximum Value,Third Maximum DateTime,Fourth Maximum Value,Fourth Maximum DateTime,50th Perecentile,75th Perecentile,90th Perecentile,95th Perecentile,98th Perecentile,99th Perecentile,Method Count,Tribe Name,State Name,County Name,City Name,Local Site Name,Address,MSA or CBSA Name,Data Source
6,111,2002,61106,1,34.276316,-118.683685,NAD83,Std Dev Hz Wind Direction,1 HOUR,,2019,Degrees Compass,No Events,8711,99,.,.,363,365,0,Certification not required,49,0,,29.500551,16.255167,.,6.6,,,87.7,2019-02-06 03:00,85.8,2019-10-10 05:00,85,2019-11-01 18:00,84.8,2019-11-16 02:00,24,41.4,54.7,60.9,67,71.5,1,,California,Ventura,Simi Valley,Simi Valley-Cochran Street,"5400 COCHRAN STREET, SIMI VALLEY, CA  93063","Oxnard-Thousand Oaks-Ventura, CA",AQS Data Mart
6,111,2002,61102,1,34.276316,-118.683685,NAD83,Wind Direction - Scalar,1 HOUR,,2019,Degrees Compass,No Events,8721,100,.,.,363,365,0,Certification not required,39,0,,178.752093,95.609006,.,0,,,359,2019-01-24 03:00,359,2019-03-21 23:00,359,2019-03-29 21:00,359,2019-08-19 04:00,196,263,279,305,338,349,1,,California,Ventura,Simi Valley,Simi Valley-Cochran Street,"5400 COCHRAN STREET, SIMI VALLEY, CA  93063","Oxnard-Thousand Oaks-Ventura, CA",AQS Data Mart
6,111,2002,61104,1,34.276316,-118.683685,NAD83,Wind Direction - Resultant,1 HOUR,,2019,Degrees Compass,No Events,8721,100,.,.,363,365,0,Certification not required,39,0,,177.99312,95.235441,.,0,,,359,2019-01-02 09:00,359,2019-01-22 06:00,359,2019-01-24 06:00,359,2019-02-17 01:00,194,263,277,301,335,348,1,,California,Ventura,Simi Valley,Simi Valley-Cochran Street,"5400 COCHRAN STREET, SIMI VALLEY, CA  93063","Oxnard-Thousand Oaks-Ventura, CA",AQS Data Mart
6,111,2002,62101,1,34.276316,-118.683685,NAD83,Outdoor Temperature,1 HOUR,,2019,Degrees Fahrenheit,No Events,8721,100,.,.,363,365,0,Certification not required,39,0,,62.308795,11.913928,.,34,,,101,2019-06-11 12:00,100,2019-06-11 11:00,99,2019-06-10 11:00,99,2019-06-10 12:00,61,70,80,85,89,91,1,,California,Ventura,Simi Valley,Simi Valley-Cochran Street,"5400 COCHRAN STREET, SIMI VALLEY, CA  93063","Oxnard-Thousand Oaks-Ventura, CA",AQS Data Mart
6,111,2002,65102,1,34.276316,-118.683685,NAD83,Rain/melt precipitation,1 HOUR,,2019,Inches (rainfall),No Events,8731,100,.,.,363,365,0,Certification not required,29,0,,0.002432,0.020679,.,0,,,0.49,2019-02-02 11:00,0.44,2019-02-02 10:00,0.43,2019-12-25 21:00,0.42,2019-12-25 22:00,0,0,0,0,0.03,0.07,1,,California,Ventura,Simi Valley,Simi Valley-Cochran Street,"5400 COCHRAN STREET, SIMI VALLEY, CA  93063","Oxnard-Thousand Oaks-Ventura, CA",AQS Data Mart
6,111,2002,61103,1,34.276316,-118.683685,NAD83,Wind Speed - Resultant,1 HOUR,,2019,Knots,No Events,8721,100,.,.,363,365,0,Certification not required,39,0,,4.082032,3.432677,.,0,,,22.7,2019-12-16 22:00,22.3,2019-12-31 06:00,22.1,2019-12-16 21:00,22.1,2019-12-17 04:00,3.1,6.2,8.5,10.1,13.2,15.5,1,,California,Ventura,Simi Valley,Simi Valley-Cochran Street,"5400 COCHRAN STREET, SIMI VALLEY, CA  93063","Oxnard-Thousand Oaks-Ventura, CA",AQS Data Mart
6,111,2002,61101,1,34.276316,-118.683685,NAD83,Wind Speed - Scalar,1 HOUR,,2019,Knots,No Events,8721,100,.,.,363,365,0,Certification not required,39,0,,4.687536,3.376691,.,0.4,,,23.5,2019-12-16 22:00,23.1,2019-12-16 21:00,23.1,2019-12-17 04:00,23.1,2019-12-31 06:00,3.9,6.6,8.9,10.7,14,16.3,1,,California,Ventura,Simi Valley,Simi Valley-Cochran Street,"5400 COCHRAN STREET, SIMI VALLEY, CA  93063","Oxnard-Thousand Oaks-Ventura, CA",AQS Data Mart
6,111,2002,63301,1,34.276316,-118.683685,NAD83,Solar radiation,1 HOUR,,2019,Langleys/minute,No Events,8731,100,.,.,363,365,0,Certification not required,29,0,,0.311268,0.435094,.,0,,,1.57,2019-05-20 11:00,1.56,2019-05-20 12:00,1.51,2019-05-06 12:00,1.5,2019-05-17 12:00,0.01,0.59,1.09,1.25,1.35,1.38,1,,California,Ventura,Simi Valley,Simi Valley-Cochran Street,"5400 COCHRAN STREET, SIMI VALLEY, CA  93063","Oxnard-Thousand Oaks-Ventura, CA",AQS Data Mart
6,111,2002,12164,7,34.276316,-118.683685,NAD83,Vanadium (TSP) STP,24 HOUR,,2019,Micrograms/cubic meter (25 C),No Events,27,44,.,.,27,61,0,Certification not required,1,0,,0.001677,0.000956,.,0.001,,,0.00384,2019-10-24 00:00,0.003,2019-05-09 00:00,0.003,2019-06-02 00:00,0.003,2019-06-14 00:00,0.001,0.003,0.003,0.003,0.00384,0.00384,1,,California,Ventura,Simi Valley,Simi Valley-Cochran Street,"5400 COCHRAN STREET, SIMI VALLEY, CA  93063","Oxnard-Thousand Oaks-Ventura, CA",AQS Data Mart
6,111,2002,12154,7,34.276316,-118.683685,NAD83,Selenium (TSP) STP,24 HOUR,,2019,Micrograms/cubic meter (25 C),No Events,27,44,.,.,27,61,0,Certification not required,1,0,,0.00165,0,.,0.00165,,,0.00165,2019-01-09 00:00,0.00165,2019-01-27 00:00,0.00165,2019-02-02 00:00,0.00165,2019-02-14 00:00,0.00165,0.00165,0.00165,0.00165,0.00165,0.00165,1,,California,Ventura,Simi Valley,Simi Valley-Cochran Street,"5400 COCHRAN STREET, SIMI VALLEY, CA  93063","Oxnard-Thousand Oaks-Ventura, CA",AQS Data Mart
