State Code,County Code,Site Number,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Duration Description,Pollutant Standard,Year,Units of Measure,Exceptional Data Type,Observation Count,Observation Percent,Primary Exceedance Count,Secdary Exceedance Count,Valid Day Count,Required Day Count,Exceptional Data Count,Certification Indicator,Null Data Count,Half MDL Sub Count,Nonregulatory Arithmetic Mean,Arithmetic Mean,Arithmetic Standard Dev,Weighted Arithmetic Mean,Minimum Value,Nonreg First Maximum Value,Nonreg First Maximum DateTime,First Maximum Value,First Maximum DateTime,Second Maximum Value,Second Maximum DateTime,Third Maximum Value,Third Maximum DateTime,Fourth Maximum Value,Fourth Maximum DateTime,50th Perecentile,75th Perecentile,90th Perecentile,95th Perecentile,98th Perecentile,99th Perecentile,Method Count,Tribe Name,State Name,County Name,City Name,Local Site Name,Address,MSA or CBSA Name,Data Source
6,101,3,68102,1,39.1387725442464,-121.618548986224,WGS84,Sample Volume,24 HOUR,,2019,Cubic meter,No Events,353,100,.,.,61,61,0,Certification not required,12,0,,23.996884,0.023022,.,23.8,,,24.1,2019-07-13 00:00,24,2019-01-01 00:00,24,2019-01-02 00:00,24,2019-01-03 00:00,24,24,24,24,24,24,1,,California,Sutter,Yuba City,Yuba City,"773 ALMOND ST, YUBA CITY","Yuba City, CA",AQS Data Mart
6,101,3,68103,1,39.1387725442464,-121.618548986224,WGS84,Ambient Min Temperature,24 HOUR,,2019,Degrees Centigrade,No Events,353,100,.,.,61,61,0,Certification not required,12,0,,11.095467,5.422054,.,-0.2,,,24,2019-06-12 00:00,23.4,2019-07-28 00:00,22.4,2019-08-16 00:00,21.8,2019-06-05 00:00,10.5,15.6,18.9,20,21.3,21.8,1,,California,Sutter,Yuba City,Yuba City,"773 ALMOND ST, YUBA CITY","Yuba City, CA",AQS Data Mart
6,101,3,68104,1,39.1387725442464,-121.618548986224,WGS84,Ambient Max Temperature,24 HOUR,,2019,Degrees Centigrade,No Events,353,100,.,.,61,61,0,Certification not required,12,0,,24.926346,8.859456,.,8,,,41.6,2019-06-18 00:00,41.4,2019-07-28 00:00,40.9,2019-07-27 00:00,40.9,2019-08-15 00:00,24.9,32.3,37.1,38.3,40.3,40.9,1,,California,Sutter,Yuba City,Yuba City,"773 ALMOND ST, YUBA CITY","Yuba City, CA",AQS Data Mart
6,101,3,68105,1,39.1387725442464,-121.618548986224,WGS84,Average Ambient Temperature,24 HOUR,,2019,Degrees Centigrade,No Events,353,100,.,.,61,61,0,Certification not required,12,0,,17.389235,6.963982,.,5.4,,,31.8,2019-07-28 00:00,31.4,2019-08-15 00:00,31.4,2019-08-16 00:00,31,2019-06-11 00:00,16.3,23.5,27.1,28.9,30.1,31,1,,California,Sutter,Yuba City,Yuba City,"773 ALMOND ST, YUBA CITY","Yuba City, CA",AQS Data Mart
6,101,3,61104,1,39.1387725442464,-121.618548986224,WGS84,Wind Direction - Resultant,1 HOUR,,2019,Degrees Compass,No Events,8758,100,.,.,365,365,0,Certification not required,2,0,,186.472368,97.205823,.,0,,,360,2019-03-24 12:00,360,2019-04-21 06:00,360,2019-06-09 14:00,360,2019-10-01 05:00,160,286,336,342,350,355,1,,California,Sutter,Yuba City,Yuba City,"773 ALMOND ST, YUBA CITY","Yuba City, CA",AQS Data Mart
6,101,3,62102,1,39.1387725442464,-121.618548986224,WGS84,Virtual Temperature,1 HOUR,,2019,Degrees Fahrenheit,No Events,8758,100,.,.,365,365,0,Certification not required,2,0,,64.205926,14.047417,.,34.9,,,102.6,2019-08-15 15:00,102.6,2019-08-15 16:00,102.4,2019-07-28 16:00,102.2,2019-07-28 15:00,62.1,74.1,84.9,90.3,94.5,96.4,1,,California,Sutter,Yuba City,Yuba City,"773 ALMOND ST, YUBA CITY","Yuba City, CA",AQS Data Mart
6,101,3,62101,2,39.1387725442464,-121.618548986224,WGS84,Outdoor Temperature,1 HOUR,,2019,Degrees Fahrenheit,No Events,8759,100,.,.,365,365,0,Certification not required,1,0,,60.660018,14.866623,.,30.2,,,101.8,2019-07-28 15:00,101.7,2019-08-15 15:00,101.3,2019-08-15 14:00,101.1,2019-08-15 16:00,58.5,71.1,82.6,88.3,93,95.2,1,,California,Sutter,Yuba City,Yuba City,"773 ALMOND ST, YUBA CITY","Yuba City, CA",AQS Data Mart
6,101,3,61103,1,39.1387725442464,-121.618548986224,WGS84,Wind Speed - Resultant,1 HOUR,,2019,Knots,No Events,8758,100,.,.,365,365,0,Certification not required,2,0,,2.685453,1.947915,.,0,,,11.5,2019-01-16 17:00,11.5,2019-01-16 19:00,11.2,2019-10-10 08:00,11,2019-06-08 11:00,2.2,3.5,5.5,6.9,8.2,8.9,1,,California,Sutter,Yuba City,Yuba City,"773 ALMOND ST, YUBA CITY","Yuba City, CA",AQS Data Mart
6,101,3,61101,1,39.1387725442464,-121.618548986224,WGS84,Wind Speed - Scalar,1 HOUR,,2019,Knots,No Events,8758,100,.,.,365,365,0,Certification not required,2,0,,2.95733,1.893799,.,0.2,,,11.6,2019-01-16 17:00,11.6,2019-01-16 19:00,11.2,2019-10-10 08:00,11.1,2019-06-08 11:00,2.5,3.8,5.7,7,8.2,9.1,1,,California,Sutter,Yuba City,Yuba City,"773 ALMOND ST, YUBA CITY","Yuba City, CA",AQS Data Mart
6,101,3,81102,3,39.1387725442464,-121.618548986224,WGS84,PM10 Total 0-10um STP,24-HR BLK AVG,PM10 24-hour 2006,2019,Micrograms/cubic meter (25 C),No Events,360,99,0,0,360,365,0,Certified,0,0,,22.322222,14.954958,22.3222222222222,2,,,80,2019-10-09 00:00,78,2019-10-27 00:00,74,2019-10-26 00:00,67,2019-11-05 00:00,20,30,42,52,60,67,1,,California,Sutter,Yuba City,Yuba City,"773 ALMOND ST, YUBA CITY","Yuba City, CA",AQS Data Mart
