ID,CBSA,PD,F,NE,T,FZ,NG,County,Source_ID,Latitude,Longitude,aveTE_ppb,TE_ppb,stdTE_ppb,minTE_ppb,maxTE_ppb,INRIX_C,OMI-JAN_2020,OMI_FEB_2020,OMI_MAR_2020,OMI_APR_2020,OMI_MAY_2020,OMI_JUNE_2020,OMI-Jan_2019,OMI_Feb_2019,OMI_Mar_2019,OMI_Apr_2019,OMI_May_2019,OMI_June_2019,LandUse
3," Los Angeles-Long Beach-Anaheim, CA",3548.8,5,5,10.3,1,1987.328,"Los Angeles : https://en.wikipedia.org/wiki/Long_Beach,_California","South Coast Air Quality Management District, 06-037-1103",34.06659,-118.22688,22.676281,13.5,11.193497,4.15,71.8,103,,,,,,,,,,,,,", Long Beach is directly downwind of several of the South Bay oil refineries. Any refinery process or chemical upset that results in the atmospheric release of refinery by-products (commonly sulfur dioxide)[39][40] will usually impact air quality in Long Beach due to the west-south-westerly prevailing wind.[36]Diesel engines, ports, motor vehicles, and industries are main sources of air pollution in Los Angeles. Los Angeles atmosphere due to frequent atmospheric inversion (that holds multiple pollutants within over the city in the form of ""pollution dome""). The effect of ""pollution dome"" leads to enhanced concentration of greenhouse gases as well such as methane["
5," San Francisco-Oakland-Hayward, CA",7256,5,5,9.7,12,4063.36,San Francisco–Oakland–Berkeley," Bay Area Air Quality Management District, 06-001-0009",37.743065,-122.169935,13.0992505,11.65,8.2910785,1.35,61.8,97,,,,,,,,,,,,,"https://en.wikipedia.org/wiki/San_Francisco%E2%80%93Oakland%E2%80%93Berkeley,_CA_Metropolitan_Statistical_Area We found 78 federally listed species recognized as affected by N pollution. To illustrate the complexity of tracing N impacts on listed species, we describe an interdisciplinary case study that addressed the threat of N pollution to California Bay Area serpentine grasslands.  The Bay Area is an enormous cluster of large cities that collectively contribute to their own pollution problem. In the State of the Air report, published by the American Lung Association, three of the nine Bay Area counties were listed as receiving failing grades on their pollution score"
6,"San Diego-Carlsbad, CA",1179.39,1,3,7,12,660.4584,San Diego," San Diego County Air Pollution Control District, Camp Pendleton",33.217055,-117.396177,9.3870295,7.5,7.272381,,,70,,,,,,,,,,,,,"https://en.wikipedia.org/wiki/Carlsbad,_California : built up area coastal town Periodically the area has been subject to wildfires that force thousands to evacuate. The most recent are the December 2017 Lilac Fire and the May 2014 San Diego County wildfires; before them was the Witch Creek Fire in 2007 and the Cedar Fire in 2003. California defines a fire season in which fires are most likely to occur, usually between late July and late October (which are the driest months of the area). Signs posted in numerous spots of the county provide information on the level of threats from fires based on weather conditions.[citation needed]"
8,"Sacramento--Roseville--Arden-Arcade, CA",2030.13,1,10,6.4,170,1136.8728,Sacramento,"Sacramento County APCD,  Sacramento-Del Paso Manor",38.613779,-121.368014,9.55859,7.5,7.3806255,,51,64,,,,,,,,,,,,,"Geography A cove inside the Sacramento River delta  The western half of Greater Sacramento is centered on the Central Valley, one of the most vital agricultural areas in the country. The Sierra Nevada and its foothills compose the eastern portion of the region. Yolo County contains a large flood control basin. The Sacramento River and the American River are major rivers that form a deepwater port connected to the San Francisco Bay by a channel through the Sacramento River Delta. Coniferous and oak-dominated woodland are prevalent in the Sierra Nevada and the Lake Tahoe area. Climate  Sacramento and the valley area have a Mediterranean climate (Köppen Csa), characterized by damp to wet, cool winters and hot, dry summers. The wet season is generally October through April. Summer heat is often moderated by a sea breeze known as the ""delta breeze"" which comes through the Sacramento–San Joaquin River Delta from the San Francisco Bay.[8] January is the coolest month for the entire region with an average maximum of 41.0 °F (5.0 °C) and an average minimum of 15.1 °F (-9.4 °C) in Lake Tahoe.  The eastern portion of Greater Sacramento experiences a more varied climate with 90 °F (32.2 °C) temperatures in August to below freezing temperatures in winter. In higher elevations, freezing temperatures have been recorded every month. In the winter, below freezing temperatures are common in Sacramento and lower valley elevations although snowfall is scarce and usually melts on ground contact with significant snowfall occurring roughly every 3–5 years. However, blizzard conditions in winter storms can be common in the higher elevations.[9][10] "
4," Fresno, CA",1788.01,5,12,1.8,200,1001.2856,Fresno,"AQS Data Mart, San Joaquin Valley Unified Air Pollution Control District, 06-019-2016",36.710833,-119.7775,27.070677,31.6,10.672923,12.3,88.7,18,,,,,,,,,,,,," Fresno sits at the junction of Highways 41 and 99 (SR 41 is Yosemite National Park's southern access road, and SR 99 bypasses Interstate 5 to serve the urban centers of the San Joaquin Valley), the city is a major gateway for Yosemite visitors coming from Los Angeles. The city also Fresno serves as the economic hub of Fresno County and California's San Joaquin Valley. The unincorporated area and rural cities surrounding Fresno remain predominantly tied to large-scale agricultural production.  Serves as an entrance into Sierra National Forest via Highway 168, and Sequoia and Kings Canyon National Parks via Highway 180. "
1,"Bakersfield, CA",40,7,12,1.6,100,22.4,Kern,"San Joaquin Valley Unified Air Pollution Control District, Bakersfield-Westwind",35.376953,-119.043889,27.7890455,26.5,9.720059,5.95,77.3,16,,,,,,,,,,,,,"Agriculture ; Energy production (Oil-producing) , - 6 days with ""Unhealthy"" air quality and 2 days with ""Very Unhealthy"" according to the EPA. Kern County suffers from severe air pollution. Particulates cause poor visibility, especially in the winter. Western Kern County lies in the San Joaquin Valley and the topography traps pollutants. Although the topography is not as unfavorable in eastern Kern County, eastern Kern County is a non-attainment area for particulates.[13] Air pollution caused by particulates is ""in the unhealthy range an average of 40 days a year, according to the American Lung Association's (ALA) 2018 State of the Air Report.[14] The county has a large agricultural base and is a significant producer of oil, natural gas, hydro-electric power, solar power, and wind power. Kern is noted for minerals, including gold, borate, and kernite. The largest open pit mine in California, which mines borax, is at Boron.[51] As of October 1, 2016, Kern County contains nearly 25% of California's in-state renewable energy production, including 1,785 MW of solar power and 3,310 MW of wind power.[52] Kern County is home to the Tehachapi Energy Storage Project, which was commissioned in 2014.[53] Agriculture  Major producer of almonds with production greater than 100 million pounds annually. Petroleum  As of 2015, Kern is California's top oil-producing county, with 78% of the state's 56,653 active oil wells and 71% of oil production.[56][57] The county produced 144.5 million barrels of oil in 2015, accounting for about 4% of overall U.S. oil production.[56][58] "
10,"Stockton-Lodi, CA  ",490,1,5,1.3,250,274.4,San Joaquin,"California Air Resources Board, 06-077-1002",37.950741,-121.268523,17.883085,15.2,10.829179,3.2,72.3,13,,,,,,,,,,,,,"National protected area      San Joaquin River National Wildlife Refuge (part) Agriculture  As of 2018, the gross value of agricultural production in the county was $2.6 billion.[47] The top product was almonds, followed by grapes, milk, and walnuts.[47]  San Joaquin County is home to one of the largest walnut processing faculties in the world, DeRuosi Nut. Another large company; Pacific State Bancorp (PSBC) was based here but was closed by the California Department of Financial Institutions on August 20, 2010.[48] Business and Industry  San Joaquin County is home to several large manufacturing, general services, and agricultural companies, including Archer Daniels Midland, Blue Shield of California, Dart Container, Holz Rubber Company, Kubota Tractors, Lodi Iron Works, Miller Packing Company, Pacific Coast Producers, Tiger Lines, Valley Industries, and Woodbridge-Robert Mondavi.[23][49]  As of 2019, about 260,000 people were employed in the county, with nearly 200,000 employed in private industry and about 44,500 employed for government.[50]  As of 2013, the goods movement industry is also an important part of the local economy, with an Amazon fulfillment center in Tracy and the Port of Stockton.[51] "
16," Salinas, CA",2562.92,1,5,1.1,150,1435.2352,Monterey," Monterey Bay Unified APCD, Salinas 3",36.694261,-121.623271,7.1288005,5.5,5.742864,,30,11,,,,,,,,,,,,,"In 2015 Salinas was in the top ten American cities for cleanest air quality,[31] It is thought that the offshore marine layer generates winds that blow smog further inland.[citation needed]"
2,"Riverside-San Bernardino-Ontario, CA",39,5,12,0.039,1,21.84,San Bernardino,AQS Data Mart,34.030833,-117.61722,34.5275135,27.2,12.683225,1.1,86.3,,,,,,,,,,,,,,"National protected areas Cadiz Dunes Wilderness      Angeles National Forest (part)     Death Valley National Park (part)     Havasu National Wildlife Refuge (part)     Joshua Tree National Park (part)     Mojave National Preserve     San Bernardino National Forest (part)  More than 80% of the county is owned by the federal government.[9] There are at least 35 official wilderness areas in the county that are part of the National Wilderness Preservation System. This is the largest number of any county in the United States (although not the largest in total area). The majority are managed by the Bureau of Land Management, but some are integral components of the above listed national protected areas. Most of these wilderness areas lie entirely within the county, but a few are shared with neighboring counties (and two of these are shared with the neighboring states of Arizona and Nevada).  San Bernardino Mountains adjacent to Riverside and in the San Bernardino Valley in the southwestern portion of the county. The Mojave National Preserve covers some of the eastern desert, especially between Interstate 15 and Interstate 40. The desert portion also includes the cities of Needles next to the Colorado River and Barstow at the junction in Interstate 15 and Interstate 40. Trona is at the northwestern part of the county, west of Death Valley. This national park, mostly within Inyo County, also has a small portion of land within San Bernardino County. The largest metropolitan area in the Mojave Desert part of the county is the Victor Valley, with the incorporated localities of Adelanto, Apple Valley, Hesperia, and Victorville. Further south, a portion of Joshua Tree National Park overlaps the county near the High Desert area, in the vicinity of Twentynine Palms. The remaining towns make up the remainder of the High Desert: Pioneertown, Yucca Valley, Joshua Tree, Landers, and Morongo Valley.  The mountains are home to the San Bernardino National Forest, and include the communities of Crestline, Lake Arrowhead, Running Springs, Big Bear City, Forest Falls, and Big Bear Lake.  The San Bernardino Valley is at the eastern end of the San Gabriel Valley. The San Bernardino Valley includes the cities of Ontario, Chino, Chino Hills, Upland, Fontana, Rialto, Colton, Grand Terrace, Montclair, Rancho Cucamonga, San Bernardino, Loma Linda, Highland, Redlands, and Yucaipa. "
7,"San Jose-Sunnyvale-Santa Clara, CA",530,1,12,0.53,1,296.8,Santa Clara,"Bay Area Air Quality Management District, San Jose - Jackson",37.348497,-121.894898,15.826269,13.65,7.78172975,,59.8,,,,,,,,,,,,,," the Bay Area is an enormous cluster of large cities that collectively contribute to their own pollution problem. In the State of the Air report, published by the American Lung Association, three of the nine Bay Area counties were listed as receiving failing grades on their pollution score National protected area      Don Edwards San Francisco Bay National Wildlife Refuge (part) Santa Clara County, officially the County of Santa Clara, is California's 6th most populous county, with a population of 1,781,642, as of the 2010 census.[3] The county seat and largest city is San Jose, the 10th most populous city in the United States, California's 3rd most populous city and the most populous city in the San Francisco Bay Area. "
